"region","total_downloads"
", United States",8098
"Armed Forces Europe, Middle East, & Canada, United States",107
"Alaska, United States",352
"Alabama, United States",1570
"Armed Forces Pacific, United States",21
"Arkansas, United States",637
"Arizona, United States",3157
"California, United States",56576
"Colorado, United States",6120
"Connecticut, United States",2817
"District of Columbia, United States",2611
"Delaware, United States",1784
"Florida, United States",12288
"Georgia, United States",6241
"Hawaii, United States",1000
"Iowa, United States",1413
"Idaho, United States",705
"Illinois, United States",9994
"Indiana, United States",1764
"Kansas, United States",1342
"Kentucky, United States",1127
"Louisiana, United States",1706
"Massachusetts, United States",5027
"Maryland, United States",6054
"Maine, United States",409
"Michigan, United States",3535
"Minnesota, United States",3140
"Missouri, United States",2439
"Mississippi, United States",852
"Montana, United States",651
"North Carolina, United States",8287
"North Dakota, United States",152
"Nebraska, United States",863
"New Hampshire, United States",617
"New Jersey, United States",8460
"New Mexico, United States",615
"Nevada, United States",2854
"New York, United States",18642
"Ohio, United States",4330
"Oklahoma, United States",855
"Oregon, United States",4395
"Pennsylvania, United States",7216
"Rhode Island, United States",603
"South Carolina, United States",1306
"South Dakota, United States",268
"Tennessee, United States",3099
"Texas, United States",23799
"Utah, United States",2634
"Virginia, United States",16429
"Vermont, United States",461
"Washington, United States",9581
"Wisconsin, United States",2838
"West Virginia, United States",184
"Wyoming, United States",90
