"region","total_downloads"
", United States",2793
"Armed Forces Europe, Middle East, & Canada, United States",4
"Alaska, United States",114
"Alabama, United States",147
"Armed Forces Pacific, United States",1
"Arkansas, United States",67
"Arizona, United States",624
"California, United States",9352
"Colorado, United States",1197
"Connecticut, United States",413
"District of Columbia, United States",629
"Delaware, United States",166
"Florida, United States",1864
"Georgia, United States",925
"Hawaii, United States",116
"Iowa, United States",270
"Idaho, United States",62
"Illinois, United States",1702
"Indiana, United States",289
"Kansas, United States",244
"Kentucky, United States",265
"Louisiana, United States",272
"Massachusetts, United States",690
"Maryland, United States",971
"Maine, United States",43
"Michigan, United States",603
"Minnesota, United States",435
"Missouri, United States",419
"Mississippi, United States",55
"Montana, United States",245
"North Carolina, United States",726
"North Dakota, United States",37
"Nebraska, United States",108
"New Hampshire, United States",153
"New Jersey, United States",1227
"New Mexico, United States",175
"Nevada, United States",467
"New York, United States",2471
"Ohio, United States",901
"Oklahoma, United States",240
"Oregon, United States",701
"Pennsylvania, United States",1115
"Rhode Island, United States",67
"South Carolina, United States",169
"South Dakota, United States",151
"Tennessee, United States",246
"Texas, United States",5597
"Utah, United States",276
"Virginia, United States",1264
"Vermont, United States",62
"Washington, United States",1489
"Wisconsin, United States",555
"West Virginia, United States",66
"Wyoming, United States",21
