"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP76 - Skynet","2016-07-31 13:56:37",229,0,0,229
"TBP75 - Attention Economy","2016-07-23 14:57:17",1193,0,0,1193
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",916,0,0,916
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",1260,0,0,1260
"TBP72 - The Broader Economy","2016-07-11 13:33:58",2726,0,0,2726
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",1387,0,0,1387
"TBP70 - Whitehat","2016-07-03 16:51:42",1256,0,0,1256
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",612,323,0,935
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",337,1437,0,1774
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",180,1165,0,1345
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",99,1043,0,1142
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",77,1038,0,1115
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",78,1074,0,1152
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",47,1005,0,1052
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",43,518,490,1051
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",41,165,584,790
"TBP60 - Release the Kraken","2016-05-23 03:32:09",79,262,1513,1854
"TBP59 - Incredible India","2016-05-16 15:40:00",43,90,755,888
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",52,82,1417,1551
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",53,94,1735,1882
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",79,61,614,754
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",50,51,214,951
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",31,30,64,623
"TBP53 - Tough Math","2016-04-17 16:24:01",63,38,94,1119
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",35,32,51,604
"TBP51 - Such Wow","2016-04-10 17:09:46",51,29,47,595
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",51,31,31,756
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",49,37,40,792
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",29,28,44,638
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",40,33,29,535
