"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",1488,0,0,1488
"NABP #9: JP Richardson","2017-08-22 15:49:09",3648,0,0,3648
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",4059,0,0,4059
"TBP148 - Controversial Persona","2017-08-20 17:08:54",4376,0,0,4376
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",3607,0,0,3607
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",3622,0,0,3622
"TBP147 - History of Security","2017-08-16 21:33:46",3743,0,0,3743
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",3392,0,0,3392
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",7072,0,0,7072
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",5763,0,0,5763
"NABP #8: Vortex","2017-08-07 21:45:42",3736,0,0,3736
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",3497,0,0,3497
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",3755,0,0,3755
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",3249,0,0,3249
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",4799,0,0,4799
"NABP #7: Marcello","2017-08-01 02:15:49",4322,0,0,4322
"TBP142 - The Need For More Information","2017-07-29 19:29:38",1576,2640,0,4216
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",836,3023,0,3859
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",956,2496,0,3452
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",563,2734,0,3297
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",505,3946,0,4451
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",650,4308,0,4958
"NABP #6: John Crothers","2017-07-19 03:43:01",376,2538,0,2914
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",310,2742,0,3052
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",307,5261,0,5568
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",425,3266,0,3691
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",345,3618,0,3963
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",272,2902,0,3174
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",391,3911,0,4302
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",334,6835,0,7169
"NABP #3: Adam Meister","2017-07-06 12:49:09",222,3719,0,3941
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",169,2913,0,3082
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",221,4370,0,4591
"NABP #2: Crypto Maak","2017-07-01 02:49:34",236,3271,0,3507
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",173,1137,2846,4156
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",180,732,4374,5286
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",126,390,2664,3180
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",119,459,2849,3427
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",115,460,2217,2792
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",125,421,3747,4293
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",94,529,3843,4466
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",130,433,4124,4687
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",119,242,3226,3587
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",147,260,3907,4314
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",98,233,5302,5633
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",77,141,1272,3054
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",87,130,605,2073
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",76,178,790,2847
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",80,194,540,2355
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",77,125,486,2262
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",78,130,378,3291
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",81,174,549,3463
"TBP128 - Family","2017-05-14 02:41:39",59,106,267,3302
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",66,79,214,3867
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",105,114,174,2386
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",166,386,840,7386
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",116,79,183,3282
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",62,61,143,2519
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",47,68,100,1645
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",60,88,111,2013
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",102,109,152,2719
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",49,53,113,1799
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",48,55,71,1778
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",57,68,69,2262
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",44,40,65,1714
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",43,44,90,2767
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",41,45,115,2423
"TBP120 - The Token Protocol","2017-03-25 20:31:45",123,99,142,3398
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",53,100,170,2623
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",42,49,93,2069
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",48,58,102,1999
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",81,127,146,2959
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",46,39,54,1552
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",63,53,82,1921
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",54,53,58,2180
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",48,36,61,2427
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",73,76,129,2502
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",46,38,39,1714
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",41,29,41,1321
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",52,49,70,2049
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",42,28,40,1403
"TBP114 - Life After Trezor","2017-02-12 06:32:10",50,85,85,2664
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",37,40,54,1640
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",44,25,43,2111
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",87,69,72,2124
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",82,61,45,1797
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",43,45,48,1619
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",87,144,108,3392
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",45,43,49,1541
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",86,60,58,2038
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",52,33,64,2182
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",47,30,46,2392
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",38,27,40,1444
"TBP109 - The Human Influence","2017-01-08 03:14:21",32,29,27,1937
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",43,33,46,1316
"TBP108 - Ether Camp","2017-01-04 15:48:27",54,45,40,1496
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",93,83,58,1813
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",77,44,48,1426
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",56,56,46,1609
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",84,21,39,2038
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",130,69,60,1984
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",54,28,47,1934
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",144,57,40,2532
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",58,35,28,1641
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",63,66,69,2009
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",72,53,38,2182
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",40,27,20,1375
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",67,53,36,2862
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",34,42,67,2238
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",20,28,44,1200
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",14,25,32,1161
"TBP97 - Hype or Hope","2016-11-06 00:57:36",37,100,51,2536
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",18,47,57,1305
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",24,31,32,1515
"TBP95 - The JOBS Act","2016-10-27 00:09:26",23,34,36,1535
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",7,49,78,2370
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",20,41,34,3644
"TBP92 - Myceliated","2016-10-09 04:31:18",2,41,35,1726
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",9,28,26,1491
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",4,61,33,2239
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",4,41,33,1347
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",4,21,31,1310
"TBP87 - The World is YOURS","2016-09-18 15:16:48",5,62,26,1720
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",4,29,22,1368
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",1,24,21,1204
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",1,22,25,1364
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",7,34,54,1852
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",3,31,53,1728
"TBP81 - Redefining Trust","2016-08-21 00:51:47",2,35,31,1550
"TBP80 - A Means to an End","2016-08-13 21:30:49",2,18,31,1413
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",8,37,43,2454
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",10,38,37,1776
"TBP77 - Collective Governance","2016-08-01 02:13:02",9,26,45,2678
"TBP76 - Skynet","2016-07-31 13:56:37",7,12,70,2853
"TBP75 - Attention Economy","2016-07-23 14:57:17",7,13,67,1801
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",3,8,106,1334
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",3,0,77,1586
"TBP72 - The Broader Economy","2016-07-11 13:33:58",28,11,107,3549
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",0,10,137,2013
"TBP70 - Whitehat","2016-07-03 16:51:42",3,10,50,1526
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",1,12,51,1273
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",3,0,43,2079
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",2,0,48,1577
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",4,0,74,1379
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",2,0,27,1322
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",6,3,1,1341
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",2,0,2,1217
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",1,1,1,1175
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",1,0,1,932
"TBP60 - Release the Kraken","2016-05-23 03:32:09",24,48,58,2406
"TBP59 - Incredible India","2016-05-16 15:40:00",1,1,2,1050
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",9,5,7,1850
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",1,4,6,2058
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",2,0,2,924
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",4,0,1,1231
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",3,0,2,728
"TBP53 - Tough Math","2016-04-17 16:24:01",1,0,54,1332
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",3,0,41,738
"TBP51 - Such Wow","2016-04-10 17:09:46",3,0,25,718
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",3,0,15,882
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",2,0,23,961
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",1,0,17,748
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",1,0,31,686
