"market","total_downloads"
"Portland / Auburn",6
"New York",2264
"Binghamton",26
"Macon",3
"Philadelphia",681
"Detroit",286
"Boston MA / Manchester",587
"Savannah",30
"Pittsburgh",173
"Ft. Wayne",13
"Cleveland / Akron (Canton)",104
"Washington DC (Hagerstown)",1294
"Baltimore",263
"Flint / Saginaw / Bay City",34
"Buffalo",69
"Cincinnati",115
"Charlotte",238
"Greensboro / High Point / Winston Salem",111
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",49
"Columbus",15
"Burlington VT / Plattsburgh",38
"Atlanta",711
"Utica",13
"Indianapolis",96
"Miami / Ft. Lauderdale",419
"Louisville",148
"Tallahassee FL / Thomasville",11
"Tri-Cities TN",11
"Albany / Schenectady / Troy",131
"Hartford & New Haven",234
"Orlando / Daytona Beach / Melbourne",264
"Columbus",52
"Youngstown",442
"Bangor",21
"Rochester",53
"Tampa / St. Petersburg (Sarasota)",217
"Traverse City / Cadillac",8
"Lexington",5
"Dayton",97
"Springfield / Holyoke",5
"Norfolk / Portsmouth / Newport News",55
"Greenville / New Bern / Washington",5
"Columbia",43
"Toledo",20
"West Palm Beach / Ft. Pierce",189
"Wilmington",8
"Lansing",13
"Presque Isle",4
"Syracuse",53
"Richmond / Petersburg",111
"Knoxville",33
"Raleigh / Durham (Fayetteville)",151
"Jacksonville",226
"Grand Rapids / Kalamazoo / Battle Creek",59
"Elmira",3
"Harrisburg / Lancaster / Lebanon / York",33
"Greenville / Spartanburg SC / Asheville NC / Anderson",46
"Harrisonburg",24
"Florence / Myrtle Beach",27
"Ft. Myers / Naples",21
"Roanoke / Lynchburg",61
"Johnstown / Altoona",99
"Chattanooga",8
"Salisbury",55
"Wilkes Barre / Scranton",4
"Terre Haute",4
"Lafayette",2
"Charlottesville",2
"South Bend / Elkhart",12
"Gainesville",6
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",41
"Corpus Christi",30
"Chicago",1018
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",7
"Topeka",6
"St. Louis",133
"Rockford",50
"Rochester MN / Mason City IA / Austin",9
"Shreveport",32
"Minneapolis / St. Paul",318
"Kansas City",250
"Milwaukee",129
"Houston",355
"Springfield",31
"New Orleans",160
"Dallas / Ft. Worth",653
"Sioux City",14
"Waco / Temple / Bryan",1777
"Victoria",2
"Birmingham",61
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",85
"Odessa / Midland",21
"Amarillo",1
"Austin",1107
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",179
"St. Joseph",3
"Jackson",9
"Memphis",54
"San Antonio",159
"Lafayette",12
"Champaign & Springfield / Decatur",5
"Evansville",9
"Oklahoma City",137
"Lubbock",42
"Omaha",68
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",56
"Nashville",80
"San Angelo",2
"Madison",217
"Ft. Smith / Fayetteville / Springdale / Rogers",22
"Tulsa",42
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",13
"Duluth MN / Superior",1
"Wichita / Hutchinson",41
"Des Moines / Ames",17
"Davenport IA / Rock Island / Moline",40
"Mobile AL / Pensacola (Ft. Walton Beach)",16
"Minot / Bismarck / Dickinson(Williston)",33
"Huntsville / Decatur (Florence)",16
"Beaumont / Port Arthur",3
"Little Rock / Pine Bluff",34
"Montgomery (Selma)",6
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",6
"Tyler / Longview(Lufkin & Nacogdoches)",16
"Hattiesburg / Laurel",4
"Baton Rouge",12
"Jackson",18
"Lincoln & Hastings / Kearney",4
"Fargo / Valley City",1
"Sioux Falls(Mitchell)",9
"Bowling Green",43
"Mankato",2
"North Platte",2
"Anchorage",85
"Honolulu",85
"Fairbanks",1
"Biloxi / Gulfport",2
"Juneau",8
"Laredo",1
"Denver",770
"Colorado Springs / Pueblo",7
"Phoenix",497
"Butte / Bozeman",79
"Great Falls",1
"Billings",67
"Boise",21
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",11
"Twin Falls",9
"Missoula",46
"El Paso",4
"Salt Lake City",188
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",20
"Albuquerque / Santa Fe",81
"Bakersfield",31
"Eugene",29
"Eureka",2
"Los Angeles",2241
"Palm Springs",20
"San Francisco / Oakland / San Jose",3190
"Yakima / Pasco / Richland / Kennewick",213
"Reno",21
"Medford / Klamath Falls",6
"Seattle / Tacoma",803
"Portland",211
"Bend",54
"San Diego",269
"Monterey / Salinas",336
"Las Vegas",373
"Santa Barbara / Santa Maria / San Luis Obispo",47
"Sacramento / Stockton / Modesto",252
"Fresno / Visalia",15
"Chico / Redding",9
"Spokane",103
