"region","total_downloads"
", United States",5744
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",122
"Alabama, United States",631
"Armed Forces Pacific, United States",5
"Arkansas, United States",252
"Arizona, United States",1416
"California, United States",25761
"Colorado, United States",3299
"Connecticut, United States",1295
"District of Columbia, United States",1326
"Delaware, United States",1207
"Florida, United States",4599
"Georgia, United States",2729
"Hawaii, United States",468
"Iowa, United States",592
"Idaho, United States",307
"Illinois, United States",4758
"Indiana, United States",867
"Kansas, United States",884
"Kentucky, United States",568
"Louisiana, United States",591
"Massachusetts, United States",2036
"Maryland, United States",2676
"Maine, United States",197
"Michigan, United States",1742
"Minnesota, United States",1216
"Missouri, United States",1223
"Mississippi, United States",243
"Montana, United States",486
"North Carolina, United States",3439
"North Dakota, United States",53
"Nebraska, United States",323
"New Hampshire, United States",258
"New Jersey, United States",3841
"New Mexico, United States",296
"Nevada, United States",1219
"New York, United States",7088
"Ohio, United States",2203
"Oklahoma, United States",562
"Oregon, United States",2349
"Pennsylvania, United States",3273
"Rhode Island, United States",232
"South Carolina, United States",662
"South Dakota, United States",249
"Tennessee, United States",1173
"Texas, United States",11356
"Utah, United States",1059
"Virginia, United States",11361
"Vermont, United States",107
"Washington, United States",4745
"Wisconsin, United States",1339
"West Virginia, United States",90
"Wyoming, United States",38
