"region","total_downloads"
", United States",7390
"Armed Forces Europe, Middle East, & Canada, United States",90
"Alaska, United States",211
"Alabama, United States",1296
"Armed Forces Pacific, United States",17
"Arkansas, United States",493
"Arizona, United States",2442
"California, United States",45892
"Colorado, United States",5245
"Connecticut, United States",2337
"District of Columbia, United States",2212
"Delaware, United States",1663
"Florida, United States",9791
"Georgia, United States",4970
"Hawaii, United States",758
"Iowa, United States",1018
"Idaho, United States",546
"Illinois, United States",7932
"Indiana, United States",1419
"Kansas, United States",1100
"Kentucky, United States",961
"Louisiana, United States",1400
"Massachusetts, United States",3958
"Maryland, United States",4661
"Maine, United States",378
"Michigan, United States",2968
"Minnesota, United States",2522
"Missouri, United States",1857
"Mississippi, United States",763
"Montana, United States",605
"North Carolina, United States",6419
"North Dakota, United States",114
"Nebraska, United States",731
"New Hampshire, United States",500
"New Jersey, United States",6789
"New Mexico, United States",517
"Nevada, United States",2286
"New York, United States",14579
"Ohio, United States",3434
"Oklahoma, United States",751
"Oregon, United States",3718
"Pennsylvania, United States",5918
"Rhode Island, United States",442
"South Carolina, United States",1082
"South Dakota, United States",260
"Tennessee, United States",2490
"Texas, United States",19314
"Utah, United States",1986
"Virginia, United States",14214
"Vermont, United States",267
"Washington, United States",7357
"Wisconsin, United States",2251
"West Virginia, United States",146
"Wyoming, United States",64
