"region","total_downloads"
", United States",4074
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",121
"Alabama, United States",268
"Armed Forces Pacific, United States",3
"Arkansas, United States",175
"Arizona, United States",1010
"California, United States",15470
"Colorado, United States",2187
"Connecticut, United States",749
"District of Columbia, United States",896
"Delaware, United States",398
"Florida, United States",3033
"Georgia, United States",1734
"Hawaii, United States",232
"Iowa, United States",404
"Idaho, United States",88
"Illinois, United States",2823
"Indiana, United States",585
"Kansas, United States",765
"Kentucky, United States",417
"Louisiana, United States",364
"Massachusetts, United States",1230
"Maryland, United States",1529
"Maine, United States",82
"Michigan, United States",1014
"Minnesota, United States",719
"Missouri, United States",805
"Mississippi, United States",144
"Montana, United States",416
"North Carolina, United States",1278
"North Dakota, United States",38
"Nebraska, United States",151
"New Hampshire, United States",228
"New Jersey, United States",2383
"New Mexico, United States",215
"Nevada, United States",699
"New York, United States",4363
"Ohio, United States",1231
"Oklahoma, United States",416
"Oregon, United States",1429
"Pennsylvania, United States",1920
"Rhode Island, United States",113
"South Carolina, United States",322
"South Dakota, United States",192
"Tennessee, United States",563
"Texas, United States",8046
"Utah, United States",626
"Virginia, United States",5394
"Vermont, United States",85
"Washington, United States",2843
"Wisconsin, United States",758
"West Virginia, United States",74
"Wyoming, United States",26
