"region","requests"
"Anonymous Proxy","4"
"United Arab Emirates","87"
"Albania","2"
"Argentina","15"
"Austria","72"
"Australia","952"
"Aruba","10"
"Aland Islands","2"
"Azerbaijan","1"
"Bosnia and Herzegovina","13"
"Barbados","2"
"Bangladesh","2"
"Belgium","67"
"Bulgaria","17"
"Bermuda","26"
"Bolivia","4"
"Brazil","115"
"Bahamas","11"
"Belarus","5"
"Belize","1"
"Canada","989"
"Switzerland","83"
"Chile","6"
"China","86"
"Colombia","9"
"Costa Rica","104"
"Cyprus","6"
"Czech Republic","112"
"Germany","510"
"Denmark","59"
"Dominican Republic","5"
"Algeria","3"
"Ecuador","6"
"Estonia","10"
"Egypt","5"
"Spain","234"
"Ethiopia","1"
"Europe","1"
"Finland","33"
"France","145"
"United Kingdom","1474"
"Georgia","1"
"Ghana","3"
"Gibraltar","1"
"Gambia","1"
"Greece","34"
"Guatemala","6"
"Guam","1"
"Hong Kong","61"
"Honduras","3"
"Croatia","16"
"Haiti","25"
"Hungary","6"
"Indonesia","42"
"Ireland","110"
"Israel","61"
"Isle of Man","11"
"India","84"
"Iraq","2"
"Iceland","94"
"Italy","40"
"Jersey","2"
"Jamaica","3"
"Japan","153"
"Kenya","11"
"Cambodia","7"
"Korea Republic of","56"
"Cayman Islands","1"
"Lebanon","3"
"Sri Lanka","6"
"Lithuania","15"
"Luxembourg","8"
"Latvia","4"
"Monaco","3"
"Moldova Republic of","2"
"Myanmar","3"
"Macau","9"
"Malta","2"
"Mexico","90"
"Malaysia","42"
"Nigeria","4"
"Nicaragua","1"
"Netherlands","370"
"Norway","224"
"New Zealand","114"
"Oman","3"
"Panama","7"
"Peru","16"
"French Polynesia","3"
"Philippines","24"
"Pakistan","3"
"Poland","76"
"Puerto Rico","5"
"Portugal","31"
"Paraguay","1"
"Qatar","2"
"Romania","11"
"Serbia","12"
"Russian Federation","41"
"Saudi Arabia","16"
"Sudan","2"
"Sweden","119"
"Singapore","69"
"Slovenia","34"
"Slovakia","33"
"Thailand","93"
"Turkey","27"
"Trinidad and Tobago","2"
"Taiwan","38"
"Tanzania United Republic of","4"
"Ukraine","22"
"United States","11389"
"Venezuela","7"
"Virgin Islands U.S.","98"
"Vietnam","30"
"South Africa","150"
