"market","total_downloads"
"Portland / Auburn",388
"New York",27282
"Binghamton",123
"Macon",97
"Philadelphia",7135
"Detroit",2583
"Boston MA / Manchester",6484
"Savannah",320
"Pittsburgh",1928
"Ft. Wayne",48
"Cleveland / Akron (Canton)",1287
"Washington DC (Hagerstown)",22314
"Baltimore",2968
"Flint / Saginaw / Bay City",247
"Buffalo",655
"Cincinnati",920
"Erie",5
"Charlotte",2941
"Greensboro / High Point / Winston Salem",705
"Charleston",103
"Augusta",81
"Providence RI / New Bedford",865
"Columbus",106
"Burlington VT / Plattsburgh",668
"Atlanta",5491
"Albany",84
"Utica",130
"Indianapolis",1195
"Miami / Ft. Lauderdale",4739
"Louisville",780
"Tallahassee FL / Thomasville",99
"Tri-Cities TN",162
"Albany / Schenectady / Troy",526
"Hartford & New Haven",2392
"Orlando / Daytona Beach / Melbourne",2264
"Columbus",1219
"Youngstown",536
"Bangor",71
"Rochester",554
"Tampa / St. Petersburg (Sarasota)",2758
"Traverse City / Cadillac",200
"Lexington",245
"Dayton",324
"Springfield / Holyoke",361
"Norfolk / Portsmouth / Newport News",712
"Greenville / New Bern / Washington",55
"Columbia",363
"Toledo",586
"West Palm Beach / Ft. Pierce",1259
"Watertown",97
"Wilmington",356
"Lansing",248
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",14
"Syracuse",329
"Richmond / Petersburg",731
"Knoxville",388
"Lima",2
"Bluefield / Beckley / Oak Hill",38
"Raleigh / Durham (Fayetteville)",4640
"Jacksonville",1059
"Grand Rapids / Kalamazoo / Battle Creek",575
"Charleston / Huntington",70
"Elmira",14
"Harrisburg / Lancaster / Lebanon / York",714
"Greenville / Spartanburg SC / Asheville NC / Anderson",848
"Harrisonburg",50
"Florence / Myrtle Beach",159
"Ft. Myers / Naples",469
"Roanoke / Lynchburg",318
"Johnstown / Altoona",429
"Chattanooga",306
"Salisbury",1256
"Wilkes Barre / Scranton",296
"Terre Haute",20
"Lafayette",22
"Charlottesville",107
"South Bend / Elkhart",214
"Gainesville",141
"Zanesville",3
"Parkersburg",21
"Clarksburg / Weston",53
"Corpus Christi",53
"Chicago",8751
"Joplin MO / Pittsburg",15
"Columbia / Jefferson City",116
"Topeka",117
"Dothan",22
"St. Louis",1633
"Rockford",147
"Rochester MN / Mason City IA / Austin",151
"Shreveport",270
"Minneapolis / St. Paul",3423
"Kansas City",1550
"Milwaukee",1029
"Houston",4357
"Springfield",349
"New Orleans",1136
"Dallas / Ft. Worth",7922
"Sioux City",26
"Waco / Temple / Bryan",3251
"Victoria",2
"Wichita Falls TX & Lawton",9
"Monroe LA / El Dorado",59
"Birmingham",788
"Ottumwa IA / Kirksville",4
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",236
"Odessa / Midland",218
"Amarillo",119
"Austin",5440
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",828
"St. Joseph",18
"Jackson",83
"Memphis",658
"San Antonio",721
"Lafayette",32
"Lake Charles",4
"Alexandria",22
"Champaign & Springfield / Decatur",188
"Evansville",35
"Oklahoma City",746
"Lubbock",404
"Omaha",670
"Panama City",35
"Sherman TX / Ada",33
"Green Bay / Appleton",282
"Nashville",1812
"San Angelo",220
"Abilene / Sweetwater",23
"Madison",1615
"Ft. Smith / Fayetteville / Springdale / Rogers",213
"Tulsa",149
"Columbus / Tupelo / West Point",18
"Peoria / Bloomington",167
"Duluth MN / Superior",49
"Wichita / Hutchinson",375
"Des Moines / Ames",378
"Davenport IA / Rock Island / Moline",133
"Mobile AL / Pensacola (Ft. Walton Beach)",487
"Minot / Bismarck / Dickinson(Williston)",143
"Huntsville / Decatur (Florence)",320
"Beaumont / Port Arthur",25
"Little Rock / Pine Bluff",389
"Montgomery (Selma)",168
"La Crosse / Eau Claire",257
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",219
"Hattiesburg / Laurel",115
"Baton Rouge",433
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",268
"Lincoln & Hastings / Kearney",368
"Fargo / Valley City",46
"Sioux Falls(Mitchell)",263
"Jonesboro",15
"Bowling Green",65
"Mankato",15
"North Platte",3
"Anchorage",347
"Honolulu",1164
"Fairbanks",11
"Biloxi / Gulfport",408
"Juneau",92
"Laredo",11
"Denver",6409
"Colorado Springs / Pueblo",352
"Phoenix",3278
"Butte / Bozeman",224
"Great Falls",75
"Billings",240
"Boise",294
"Idaho Falls / Pocatello",110
"Cheyenne WY / Scottsbluff",69
"Twin Falls",49
"Missoula",134
"Rapid City",7
"El Paso",60
"Helena",2
"Casper / Riverton",5
"Salt Lake City",2954
"Yuma AZ / El Centro",5
"Grand Junction / Montrose",95
"Tucson (Sierra Vista)",254
"Albuquerque / Santa Fe",582
"Bakersfield",250
"Eugene",519
"Eureka",26
"Los Angeles",21902
"Palm Springs",228
"San Francisco / Oakland / San Jose",28165
"Yakima / Pasco / Richland / Kennewick",835
"Reno",268
"Medford / Klamath Falls",151
"Seattle / Tacoma",9067
"Portland",3341
"Bend",342
"San Diego",4077
"Monterey / Salinas",1820
"Las Vegas",3025
"Santa Barbara / Santa Maria / San Luis Obispo",756
"Sacramento / Stockton / Modesto",3054
"Fresno / Visalia",176
"Chico / Redding",110
"Spokane",678
