"region","total_downloads"
", United States",5490
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",571
"Armed Forces Pacific, United States",3
"Arkansas, United States",229
"Arizona, United States",1339
"California, United States",24066
"Colorado, United States",3150
"Connecticut, United States",1160
"District of Columbia, United States",1269
"Delaware, United States",1195
"Florida, United States",4342
"Georgia, United States",2600
"Hawaii, United States",449
"Iowa, United States",576
"Idaho, United States",243
"Illinois, United States",4541
"Indiana, United States",840
"Kansas, United States",831
"Kentucky, United States",553
"Louisiana, United States",540
"Massachusetts, United States",1920
"Maryland, United States",2330
"Maine, United States",178
"Michigan, United States",1638
"Minnesota, United States",1139
"Missouri, United States",1160
"Mississippi, United States",231
"Montana, United States",469
"North Carolina, United States",3055
"North Dakota, United States",50
"Nebraska, United States",288
"New Hampshire, United States",250
"New Jersey, United States",3650
"New Mexico, United States",273
"Nevada, United States",1157
"New York, United States",6553
"Ohio, United States",1771
"Oklahoma, United States",558
"Oregon, United States",2184
"Pennsylvania, United States",3165
"Rhode Island, United States",218
"South Carolina, United States",625
"South Dakota, United States",238
"Tennessee, United States",1026
"Texas, United States",10868
"Utah, United States",965
"Virginia, United States",10710
"Vermont, United States",98
"Washington, United States",4522
"Wisconsin, United States",1304
"West Virginia, United States",88
"Wyoming, United States",37
