"market","total_downloads"
"Portland / Auburn",270
"New York",15081
"Binghamton",101
"Macon",64
"Philadelphia",4698
"Detroit",1692
"Boston MA / Manchester",3296
"Savannah",175
"Pittsburgh",1107
"Ft. Wayne",44
"Cleveland / Akron (Canton)",739
"Washington DC (Hagerstown)",16301
"Baltimore",1760
"Flint / Saginaw / Bay City",120
"Buffalo",441
"Cincinnati",714
"Erie",1
"Charlotte",1376
"Greensboro / High Point / Winston Salem",442
"Charleston",57
"Augusta",44
"Providence RI / New Bedford",366
"Columbus",45
"Burlington VT / Plattsburgh",228
"Atlanta",3315
"Albany",50
"Utica",85
"Indianapolis",625
"Miami / Ft. Lauderdale",2501
"Louisville",491
"Tallahassee FL / Thomasville",57
"Tri-Cities TN",39
"Albany / Schenectady / Troy",386
"Hartford & New Haven",1574
"Orlando / Daytona Beach / Melbourne",1172
"Columbus",388
"Youngstown",475
"Bangor",69
"Rochester",295
"Tampa / St. Petersburg (Sarasota)",1254
"Traverse City / Cadillac",38
"Lexington",189
"Dayton",255
"Springfield / Holyoke",272
"Norfolk / Portsmouth / Newport News",302
"Greenville / New Bern / Washington",27
"Columbia",254
"Toledo",244
"West Palm Beach / Ft. Pierce",860
"Watertown",62
"Wilmington",268
"Lansing",168
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",1
"Syracuse",204
"Richmond / Petersburg",461
"Knoxville",209
"Lima",2
"Bluefield / Beckley / Oak Hill",4
"Raleigh / Durham (Fayetteville)",3247
"Jacksonville",746
"Grand Rapids / Kalamazoo / Battle Creek",304
"Charleston / Huntington",26
"Elmira",8
"Harrisburg / Lancaster / Lebanon / York",465
"Greenville / Spartanburg SC / Asheville NC / Anderson",490
"Harrisonburg",35
"Florence / Myrtle Beach",111
"Ft. Myers / Naples",405
"Roanoke / Lynchburg",191
"Johnstown / Altoona",374
"Chattanooga",144
"Salisbury",1065
"Wilkes Barre / Scranton",134
"Terre Haute",18
"Lafayette",20
"Charlottesville",66
"South Bend / Elkhart",155
"Gainesville",33
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",49
"Corpus Christi",52
"Chicago",5439
"Joplin MO / Pittsburg",4
"Columbia / Jefferson City",36
"Topeka",90
"Dothan",20
"St. Louis",896
"Rockford",111
"Rochester MN / Mason City IA / Austin",11
"Shreveport",140
"Minneapolis / St. Paul",1917
"Kansas City",1256
"Milwaukee",517
"Houston",2665
"Springfield",253
"New Orleans",634
"Dallas / Ft. Worth",4858
"Sioux City",19
"Waco / Temple / Bryan",2559
"Victoria",2
"Wichita Falls TX & Lawton",5
"Monroe LA / El Dorado",6
"Birmingham",479
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",139
"Odessa / Midland",167
"Amarillo",54
"Austin",2730
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",522
"St. Joseph",16
"Jackson",80
"Memphis",441
"San Antonio",507
"Lafayette",29
"Alexandria",20
"Champaign & Springfield / Decatur",118
"Evansville",27
"Oklahoma City",521
"Lubbock",307
"Omaha",419
"Panama City",9
"Sherman TX / Ada",9
"Green Bay / Appleton",127
"Nashville",1192
"San Angelo",178
"Abilene / Sweetwater",22
"Madison",1045
"Ft. Smith / Fayetteville / Springdale / Rogers",81
"Tulsa",105
"Columbus / Tupelo / West Point",14
"Peoria / Bloomington",129
"Duluth MN / Superior",22
"Wichita / Hutchinson",147
"Des Moines / Ames",207
"Davenport IA / Rock Island / Moline",97
"Mobile AL / Pensacola (Ft. Walton Beach)",257
"Minot / Bismarck / Dickinson(Williston)",71
"Huntsville / Decatur (Florence)",244
"Beaumont / Port Arthur",25
"Little Rock / Pine Bluff",281
"Montgomery (Selma)",104
"La Crosse / Eau Claire",140
"Wausau / Rhinelander",39
"Tyler / Longview(Lufkin & Nacogdoches)",147
"Hattiesburg / Laurel",44
"Baton Rouge",235
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",176
"Lincoln & Hastings / Kearney",233
"Fargo / Valley City",32
"Sioux Falls(Mitchell)",250
"Jonesboro",12
"Bowling Green",44
"Mankato",14
"North Platte",2
"Anchorage",123
"Honolulu",643
"Fairbanks",1
"Biloxi / Gulfport",274
"Juneau",55
"Laredo",9
"Denver",4354
"Colorado Springs / Pueblo",173
"Phoenix",1876
"Butte / Bozeman",159
"Great Falls",72
"Billings",234
"Boise",212
"Idaho Falls / Pocatello",61
"Cheyenne WY / Scottsbluff",36
"Twin Falls",45
"Missoula",119
"Rapid City",5
"El Paso",32
"Helena",1
"Casper / Riverton",1
"Salt Lake City",1533
"Yuma AZ / El Centro",2
"Grand Junction / Montrose",50
"Tucson (Sierra Vista)",163
"Albuquerque / Santa Fe",368
"Bakersfield",194
"Eugene",288
"Eureka",16
"Los Angeles",13216
"Palm Springs",155
"San Francisco / Oakland / San Jose",17528
"Yakima / Pasco / Richland / Kennewick",715
"Reno",163
"Medford / Klamath Falls",52
"Seattle / Tacoma",5400
"Portland",2134
"Bend",263
"San Diego",2238
"Monterey / Salinas",951
"Las Vegas",1733
"Santa Barbara / Santa Maria / San Luis Obispo",367
"Sacramento / Stockton / Modesto",1911
"Fresno / Visalia",99
"Chico / Redding",39
"Spokane",364
