"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP75 - Attention Economy","2016-07-23 14:57:17",577,0,0,577
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",763,0,0,763
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",1184,0,0,1184
"TBP72 - The Broader Economy","2016-07-11 13:33:58",2624,0,0,2624
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",1353,0,0,1353
"TBP70 - Whitehat","2016-07-03 16:51:42",1232,0,0,1232
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",591,323,0,914
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",316,1437,0,1753
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",156,1165,0,1321
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",88,1043,0,1131
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",65,1038,0,1103
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",62,1074,0,1136
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",40,1005,0,1045
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",32,518,490,1040
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",35,165,584,784
"TBP60 - Release the Kraken","2016-05-23 03:32:09",68,262,1513,1843
"TBP59 - Incredible India","2016-05-16 15:40:00",37,90,755,882
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",43,82,1417,1542
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",48,94,1735,1877
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",53,61,614,728
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",40,51,214,941
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",27,30,64,619
"TBP53 - Tough Math","2016-04-17 16:24:01",60,38,94,1116
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",27,32,51,596
"TBP51 - Such Wow","2016-04-10 17:09:46",42,29,47,586
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",48,31,31,753
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",47,37,40,790
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",27,28,44,636
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",35,33,29,530
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",54,25,37,793
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",48,29,32,639
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",37,34,40,582
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",28,22,28,618
"TBP42 - True Micropayments","2016-02-21 23:13:15",36,23,24,762
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",38,29,25,570
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",37,32,35,1197
"TBP39 - Running the Gamut","2016-02-07 20:14:46",33,22,19,838
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",21,16,17,585
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",29,20,16,569
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",20,10,14,522
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",18,18,22,1004
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",19,17,17,765
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",16,24,25,647
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",17,23,23,710
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",16,16,13,459
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",12,11,10,460
"TBP29 - Take the Power Back","2015-12-06 16:35:49",17,18,15,571
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",16,14,31,547
"TBP27 - London Calling","2015-11-22 16:30:21",17,10,11,544
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",17,12,17,499
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",9,8,12,421
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",18,17,19,605
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",19,11,11,368
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",15,15,17,306
"TBP21 - Call For Papers","2015-10-10 13:06:37",16,17,11,349
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",20,14,21,356
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",18,16,17,399
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",15,12,9,372
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",13,12,10,476
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",18,13,13,405
"TBP15 - Ants Marching","2015-08-30 19:31:14",19,12,12,370
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",24,12,12,520
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",17,13,10,424
"TBP12 - Boring Economics","2015-08-08 00:53:49",29,18,13,597
"TBP11 - The End of Money","2015-08-03 04:12:02",22,10,20,527
"TBP10 - Bottoms Up","2015-07-24 13:32:59",11,14,10,428
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",34,7,13,491
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",19,11,12,552
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",31,20,11,479
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",18,8,13,418
"TBP05 - The World's Strongest","2015-06-28 22:55:15",22,14,25,495
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",33,13,26,584
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",23,15,30,551
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",69,29,38,668
"Episode #1 - Introduction","2015-06-01 00:34:44",92,95,59,1041
