"region","region_name","country_code","region","requests"
"Alaska","37","Alaska","US","US-AK"
"Alabama","66","Alabama","US","US-AL"
"Arkansas","75","Arkansas","US","US-AR"
"Arizona","235","Arizona","US","US-AZ"
"California","3651","California","US","US-CA"
"Colorado","443","Colorado","US","US-CO"
"Connecticut","157","Connecticut","US","US-CT"
"District of Columbia","193","District of Columbia","US","US-DC"
"Delaware","10","Delaware","US","US-DE"
"Florida","891","Florida","US","US-FL"
"Georgia","506","Georgia","US","US-GA"
"Hawaii","109","Hawaii","US","US-HI"
"Iowa","37","Iowa","US","US-IA"
"Idaho","119","Idaho","US","US-ID"
"Illinois","799","Illinois","US","US-IL"
"Indiana","170","Indiana","US","US-IN"
"Kansas","72","Kansas","US","US-KS"
"Kentucky","78","Kentucky","US","US-KY"
"Louisiana","57","Louisiana","US","US-LA"
"Massachusetts","468","Massachusetts","US","US-MA"
"Maryland","296","Maryland","US","US-MD"
"Maine","6","Maine","US","US-ME"
"Michigan","291","Michigan","US","US-MI"
"Minnesota","205","Minnesota","US","US-MN"
"Missouri","155","Missouri","US","US-MO"
"Mississippi","66","Mississippi","US","US-MS"
"Montana","28","Montana","US","US-MT"
"North Carolina","388","North Carolina","US","US-NC"
"North Dakota","17","North Dakota","US","US-ND"
"Nebraska","90","Nebraska","US","US-NE"
"New Hampshire","40","New Hampshire","US","US-NH"
"New Jersey","629","New Jersey","US","US-NJ"
"New Mexico","18","New Mexico","US","US-NM"
"Armed Forces Europe Middle East & Canada","34","Armed Forces Europe Middle East & Canada","US","US-NUL"
"Nevada","186","Nevada","US","US-NV"
"New York","1302","New York","US","US-NY"
"Ohio","274","Ohio","US","US-OH"
"Oklahoma","76","Oklahoma","US","US-OK"
"Oregon","327","Oregon","US","US-OR"
"Pennsylvania","428","Pennsylvania","US","US-PA"
"Rhode Island","59","Rhode Island","US","US-RI"
"South Carolina","56","South Carolina","US","US-SC"
"South Dakota","9","South Dakota","US","US-SD"
"Tennessee","146","Tennessee","US","US-TN"
"Texas","1706","Texas","US","US-TX"
"Utah","211","Utah","US","US-UT"
"Virginia","380","Virginia","US","US-VA"
"Vermont","27","Vermont","US","US-VT"
"Washington","731","Washington","US","US-WA"
"Wisconsin","197","Wisconsin","US","US-WI"
"West Virginia","13","West Virginia","US","US-WV"
"Wyoming","33","Wyoming","US","US-WY"
