"region","requests"
"Anonymous Proxy","5"
"United Arab Emirates","46"
"Argentina","26"
"Austria","51"
"Australia","1460"
"Aruba","6"
"Aland Islands","3"
"Bosnia and Herzegovina","20"
"Bangladesh","9"
"Belgium","106"
"Bulgaria","27"
"Bahrain","3"
"Bermuda","17"
"Bolivia","8"
"Brazil","318"
"Bahamas","185"
"Belarus","5"
"Belize","2"
"Canada","1316"
"Switzerland","115"
"Chile","23"
"China","93"
"Colombia","14"
"Costa Rica","113"
"Cuba","1"
"Curaao","5"
"Cyprus","13"
"Czech Republic","103"
"Germany","621"
"Denmark","58"
"Dominican Republic","4"
"Ecuador","18"
"Estonia","24"
"Egypt","27"
"Spain","247"
"Europe","2"
"Finland","16"
"France","150"
"United Kingdom","1266"
"Georgia","3"
"Ghana","6"
"Gibraltar","1"
"Gambia","2"
"Guadeloupe","6"
"Greece","19"
"Guatemala","1"
"Hong Kong","98"
"Croatia","26"
"Hungary","9"
"Indonesia","14"
"Ireland","131"
"Israel","75"
"Isle of Man","13"
"India","167"
"Iraq","4"
"Iran Islamic Republic of","4"
"Iceland","15"
"Italy","66"
"Jamaica","3"
"Jordan","1"
"Japan","193"
"Kenya","131"
"Cambodia","5"
"Korea Republic of","49"
"Kuwait","4"
"Kazakhstan","2"
"Lebanon","1"
"Saint Lucia","5"
"Sri Lanka","4"
"Lithuania","19"
"Luxembourg","7"
"Latvia","9"
"Morocco","1"
"Monaco","3"
"Moldova Republic of","4"
"Mongolia","3"
"Macau","10"
"Malta","6"
"Mexico","229"
"Malaysia","47"
"Nigeria","3"
"Netherlands","384"
"Norway","161"
"Nepal","3"
"New Zealand","189"
"Oman","1"
"Panama","3"
"Peru","15"
"French Polynesia","10"
"Philippines","103"
"Pakistan","24"
"Poland","98"
"Puerto Rico","9"
"Portugal","42"
"Qatar","6"
"Romania","149"
"Serbia","20"
"Russian Federation","61"
"Saudi Arabia","38"
"Sweden","188"
"Singapore","181"
"Slovenia","112"
"Slovakia","26"
"El Salvador","4"
"Thailand","95"
"Turkey","66"
"Trinidad and Tobago","4"
"Taiwan","42"
"Ukraine","117"
"United States","15011"
"Uruguay","2"
"Venezuela","11"
"Vietnam","48"
"South Africa","112"
