"region","total_downloads"
", United States",3600
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",194
"Armed Forces Pacific, United States",2
"Arkansas, United States",113
"Arizona, United States",842
"California, United States",12699
"Colorado, United States",1656
"Connecticut, United States",589
"District of Columbia, United States",735
"Delaware, United States",318
"Florida, United States",2373
"Georgia, United States",1249
"Hawaii, United States",201
"Iowa, United States",320
"Idaho, United States",84
"Illinois, United States",2257
"Indiana, United States",449
"Kansas, United States",749
"Kentucky, United States",366
"Louisiana, United States",310
"Massachusetts, United States",952
"Maryland, United States",1235
"Maine, United States",82
"Michigan, United States",872
"Minnesota, United States",596
"Missouri, United States",659
"Mississippi, United States",91
"Montana, United States",380
"North Carolina, United States",1074
"North Dakota, United States",38
"Nebraska, United States",137
"New Hampshire, United States",166
"New Jersey, United States",1888
"New Mexico, United States",192
"Nevada, United States",601
"New York, United States",3453
"Ohio, United States",1136
"Oklahoma, United States",313
"Oregon, United States",1099
"Pennsylvania, United States",1487
"Rhode Island, United States",92
"South Carolina, United States",242
"South Dakota, United States",172
"Tennessee, United States",383
"Texas, United States",6933
"Utah, United States",413
"Virginia, United States",3083
"Vermont, United States",74
"Washington, United States",2280
"Wisconsin, United States",656
"West Virginia, United States",72
"Wyoming, United States",23
