"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"An Ethereum Podcast: Episode #10","2017-12-26 14:46:48",2425,0,0,2425
"TBP174 - Determining the Reliability of Sources","2017-12-23 18:03:54",4246,0,0,4246
"TBP Announcements: Bluezelle","2017-12-22 04:21:34",3575,0,0,3575
"NABP #12: Jimmy Song","2017-12-21 15:53:28",4860,0,0,4860
"TBP173 - Surprising Insights","2017-12-21 15:27:11",5062,0,0,5062
"An Ethereum Podcast: Episode #9","2017-12-19 14:41:07",5433,0,0,5433
"BlockChannel Episode 35: Deciphering What’s New, with NuCypher","2017-12-19 01:39:53",4470,0,0,4470
"TBP172 - Life After Silicon Valley","2017-12-17 18:58:08",6047,0,0,6047
"Monero Monitor: Mimblewimble with Andrew Poelstra","2017-12-11 14:35:52",8331,0,0,8331
"An Ethereum Podcast: Episode #8","2017-12-10 14:23:50",5412,0,0,5412
"TBP171 - The Future of Giving","2017-12-09 19:40:43",4777,0,0,4777
"TBP Announcements: LoyalCoin","2017-12-09 18:06:06",4617,0,0,4617
"Buy or Sell, What the Hell #5","2017-12-09 16:21:38",5954,0,0,5954
"TBP Announcements: CoinFi","2017-12-08 15:50:50",4555,0,0,4555
"An Ethereum Podcast: Episode #7","2017-12-05 16:37:02",6737,0,0,6737
"TBP170 - A New Kind of Legal","2017-12-03 14:58:36",6267,0,0,6267
"An Ethereum Podcast: Episode #6","2017-11-30 14:08:10",4393,2036,0,6429
"TBP Announcements: Crowd Machine","2017-11-30 13:23:53",2210,1609,0,3819
"TBP169 - Monetary Revolution","2017-11-27 02:56:13",2249,3724,0,5973
"TBP Announcements: Coinfirm","2017-11-27 02:51:51",1018,3601,0,4619
"TBP168 - Passion, Pain & Unicorn Slayin'","2017-11-26 05:35:45",1219,4798,0,6017
"BlockChannel Episode 34: Developers Developers Developers, with Zastrin.com","2017-11-23 19:10:49",829,3884,0,4713
"TBP Announcements: Simple Token","2017-11-19 22:12:40",648,3912,0,4560
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",1029,5977,0,7006
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",575,3792,0,4367
"TBP Announcements: Globitex","2017-11-15 03:54:35",574,3854,0,4428
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",641,5468,0,6109
"Devcon3: Recap Part 2","2017-11-05 14:54:24",398,5612,0,6010
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",484,4140,0,4624
"Devcon3: Recap Part 1","2017-11-03 01:13:35",400,4791,0,5191
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",339,2775,1762,4876
"TBP163 - Savings and Savior","2017-10-29 03:38:25",308,1224,2805,4337
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",424,1510,3238,5172
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",306,800,2749,3855
"TBP162 - Sweet Talk","2017-10-26 14:29:23",329,1016,3297,4642
"BTCPODcast.mp3","2017-10-25 14:03:59",2,45,103,150
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",269,683,4024,4976
"TBP Announcements: STACK","2017-10-22 01:12:19",258,570,3093,3921
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",275,738,3402,4415
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",219,486,3324,4029
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",228,465,3548,4241
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",234,488,3627,4349
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",231,458,3395,4084
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",248,481,4629,5358
"TBP Announcements: DOVU","2017-10-06 21:48:28",205,361,3332,3898
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",221,347,3462,4030
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",218,336,2927,3481
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",266,434,4337,5037
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",196,306,3333,3835
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",224,349,3797,4370
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",206,347,3831,4384
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",201,317,1175,4530
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",190,268,781,3674
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",237,331,864,4272
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",178,260,578,3927
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",182,279,571,4249
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",191,288,542,4318
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",245,298,510,4962
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",175,230,384,3522
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",205,251,391,5542
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",190,247,346,4516
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",170,223,315,4964
"TBP152 - Pally on the Block","2017-09-10 14:02:18",168,217,289,5511
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",376,353,477,6214
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",181,223,286,4800
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",212,241,304,5152
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",168,227,262,5095
"TBP150 - EGO with ETH","2017-09-04 02:16:51",163,216,235,5193
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",158,189,208,4866
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",171,201,204,3858
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",179,201,168,4501
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",167,200,214,5033
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",154,188,202,5297
"NABP #9: JP Richardson","2017-08-22 15:49:09",151,184,152,4991
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",200,268,182,5866
"TBP148 - Controversial Persona","2017-08-20 17:08:54",150,183,166,5733
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",160,178,132,4629
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",142,161,110,4518
"TBP147 - History of Security","2017-08-16 21:33:46",165,199,155,4860
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",147,177,130,4282
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",140,183,149,8137
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",144,187,141,6665
"NABP #8: Vortex","2017-08-07 21:45:42",126,150,119,4434
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",127,153,117,4169
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",138,153,141,4603
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",137,158,113,3905
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",139,150,114,5502
"NABP #7: Marcello","2017-08-01 02:15:49",147,157,106,4951
"TBP142 - The Need For More Information","2017-07-29 19:29:38",132,145,110,4797
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",170,134,106,4453
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",129,120,95,3956
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",169,160,93,3913
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",157,140,113,5051
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",604,224,158,6231
"NABP #6: John Crothers","2017-07-19 03:43:01",145,127,93,3494
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",147,127,91,3549
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",135,128,81,6041
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",152,124,100,4215
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",132,113,82,4401
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",149,117,83,3646
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",144,117,98,4776
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",155,112,91,7647
"NABP #3: Adam Meister","2017-07-06 12:49:09",153,121,91,4420
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",124,103,77,3484
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",133,113,68,5003
"NABP #2: Crypto Maak","2017-07-01 02:49:34",141,108,95,4034
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",141,105,71,4590
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",152,110,78,5743
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",103,107,74,3546
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",91,109,67,3797
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",97,107,65,3166
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",87,100,65,4653
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",90,96,71,4811
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",113,136,78,5135
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",85,134,72,3962
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",90,134,78,4733
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",62,144,78,5999
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",43,88,56,3311
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",26,101,52,2326
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",29,91,57,3102
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",34,90,62,2615
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",31,80,56,2518
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",42,90,57,3566
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",35,90,63,3735
"TBP128 - Family","2017-05-14 02:41:39",48,83,51,3567
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",35,58,58,4094
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",24,47,69,2692
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",66,118,80,7837
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",17,26,44,3447
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",23,29,49,2698
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",14,23,48,1796
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",21,15,63,2188
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",15,17,76,2979
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",21,22,45,1949
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",8,18,45,1913
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",12,19,53,2394
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",11,22,53,1859
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",13,9,42,2886
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",12,14,46,2554
"TBP120 - The Token Protocol","2017-03-25 20:31:45",19,20,56,3669
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",14,24,45,2768
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",15,19,30,2183
