"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",10,56,159,2029
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",5,22,59,1293
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",7,84,205,2713
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",10,63,60,2105
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",23,27,24,1131
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",9,16,64,1099
"TBP97 - Hype or Hope","2016-11-06 00:57:36",11,76,189,2359
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",18,36,33,1201
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",8,19,58,1436
"TBP95 - The JOBS Act","2016-10-27 00:09:26",5,21,58,1447
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",31,21,63,2267
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",9,98,61,3558
"TBP92 - Myceliated","2016-10-09 04:31:18",10,19,55,1658
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",9,14,66,1437
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",11,56,142,2152
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",8,25,57,1277
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",9,19,8,1263
"TBP87 - The World is YOURS","2016-09-18 15:16:48",10,18,11,1637
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",9,19,56,1322
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",6,21,8,1164
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",5,18,7,1321
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",7,37,9,1764
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",20,24,60,1661
"TBP81 - Redefining Trust","2016-08-21 00:51:47",5,19,8,1487
"TBP80 - A Means to an End","2016-08-13 21:30:49",7,47,7,1369
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",18,25,12,2384
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",5,27,7,1696
"TBP77 - Collective Governance","2016-08-01 02:13:02",12,61,137,2610
"TBP76 - Skynet","2016-07-31 13:56:37",12,57,196,2776
"TBP75 - Attention Economy","2016-07-23 14:57:17",9,19,16,1723
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",12,22,14,1229
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",6,30,9,1512
"TBP72 - The Broader Economy","2016-07-11 13:33:58",22,52,58,3425
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",28,90,12,1894
"TBP70 - Whitehat","2016-07-03 16:51:42",5,25,8,1468
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",19,22,18,1228
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",15,47,13,2048
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",30,46,8,1557
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",70,31,7,1371
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",23,34,7,1316
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",0,36,10,1331
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",1,40,7,1214
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",0,26,5,1172
