"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",1504,0,0,1504
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",2277,0,0,2277
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",2437,0,0,2437
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",2021,0,0,2021
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",3524,0,0,3524
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",3656,0,0,3656
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",3879,0,0,3879
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",3141,0,0,3141
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",3820,0,0,3820
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",5230,0,0,5230
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",1239,1564,0,2803
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",573,1251,0,1824
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",753,1803,0,2556
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",516,1541,0,2057
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",465,1574,0,2039
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",357,2705,0,3062
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",521,2659,0,3180
"TBP128 - Family","2017-05-14 02:41:39",252,2870,0,3122
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",198,3508,0,3706
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",157,1993,0,2150
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",758,5994,0,6752
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",165,1313,1591,3069
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",128,502,1751,2381
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",88,320,1110,1518
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",96,437,1317,1850
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",143,505,1851,2499
