"region","total_downloads"
", United States",3063
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",117
"Alabama, United States",161
"Armed Forces Pacific, United States",2
"Arkansas, United States",67
"Arizona, United States",657
"California, United States",10257
"Colorado, United States",1281
"Connecticut, United States",431
"District of Columbia, United States",657
"Delaware, United States",209
"Florida, United States",1933
"Georgia, United States",988
"Hawaii, United States",165
"Iowa, United States",279
"Idaho, United States",71
"Illinois, United States",1859
"Indiana, United States",340
"Kansas, United States",450
"Kentucky, United States",317
"Louisiana, United States",285
"Massachusetts, United States",759
"Maryland, United States",1014
"Maine, United States",53
"Michigan, United States",653
"Minnesota, United States",473
"Missouri, United States",546
"Mississippi, United States",61
"Montana, United States",316
"North Carolina, United States",787
"North Dakota, United States",37
"Nebraska, United States",117
"New Hampshire, United States",153
"New Jersey, United States",1373
"New Mexico, United States",179
"Nevada, United States",490
"New York, United States",2650
"Ohio, United States",960
"Oklahoma, United States",250
"Oregon, United States",750
"Pennsylvania, United States",1185
"Rhode Island, United States",69
"South Carolina, United States",196
"South Dakota, United States",152
"Tennessee, United States",295
"Texas, United States",5857
"Utah, United States",322
"Virginia, United States",1593
"Vermont, United States",65
"Washington, United States",1708
"Wisconsin, United States",594
"West Virginia, United States",71
"Wyoming, United States",23
