"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",9,0,0,9
"TBP72 - The Broader Economy","2016-07-11 13:33:58",2248,0,0,2248
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",1219,0,0,1219
"TBP70 - Whitehat","2016-07-03 16:51:42",1185,0,0,1185
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",557,323,0,880
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",281,1437,0,1718
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",133,1165,0,1298
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",64,1043,0,1107
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",45,1038,0,1083
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",47,1074,0,1121
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",27,1005,0,1032
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",16,518,490,1024
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",24,165,584,773
"TBP60 - Release the Kraken","2016-05-23 03:32:09",50,262,1513,1825
"TBP59 - Incredible India","2016-05-16 15:40:00",18,90,755,863
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",30,82,1417,1529
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",19,94,1735,1848
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",16,61,614,691
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",19,51,214,920
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",13,30,64,605
"TBP53 - Tough Math","2016-04-17 16:24:01",34,38,94,1090
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",13,32,51,582
"TBP51 - Such Wow","2016-04-10 17:09:46",27,29,47,571
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",22,31,31,727
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",24,37,40,767
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",19,28,44,628
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",26,33,29,521
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",30,25,37,769
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",26,29,32,617
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",28,34,40,573
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",19,22,28,609
"TBP42 - True Micropayments","2016-02-21 23:13:15",18,23,24,744
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",27,29,25,559
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",23,32,35,1183
"TBP39 - Running the Gamut","2016-02-07 20:14:46",23,22,19,828
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",15,16,17,579
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",15,20,16,555
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",13,10,14,515
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",7,18,22,993
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",15,17,17,761
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",13,24,25,644
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",13,23,23,706
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",12,16,13,455
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",5,11,10,453
"TBP29 - Take the Power Back","2015-12-06 16:35:49",13,18,15,567
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",9,14,31,540
"TBP27 - London Calling","2015-11-22 16:30:21",12,10,11,539
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",14,12,17,496
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",4,8,12,416
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",9,17,19,596
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",14,11,11,363
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",12,15,17,303
"TBP21 - Call For Papers","2015-10-10 13:06:37",13,17,11,346
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",14,14,21,350
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",11,16,17,392
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",12,12,9,369
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",6,12,10,469
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",13,13,13,400
"TBP15 - Ants Marching","2015-08-30 19:31:14",13,12,12,364
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",15,12,12,511
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",12,13,10,419
"TBP12 - Boring Economics","2015-08-08 00:53:49",24,18,13,592
"TBP11 - The End of Money","2015-08-03 04:12:02",12,10,20,517
"TBP10 - Bottoms Up","2015-07-24 13:32:59",5,14,10,422
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",16,7,13,473
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",16,11,12,549
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",17,20,11,465
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",13,8,13,413
"TBP05 - The World's Strongest","2015-06-28 22:55:15",15,14,25,488
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",18,13,26,569
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",18,15,30,546
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",57,29,38,656
"Episode #1 - Introduction","2015-06-01 00:34:44",76,95,59,1025
