"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",95,0,0,95
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",2662,0,0,2662
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",3097,0,0,3097
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",2942,0,0,2942
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",3629,0,0,3629
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",5124,0,0,5124
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",1189,1564,0,2753
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",537,1251,0,1788
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",695,1803,0,2498
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",452,1541,0,1993
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",422,1574,0,1996
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",296,2705,0,3001
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",428,2659,0,3087
"TBP128 - Family","2017-05-14 02:41:39",181,2870,0,3051
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",135,3508,0,3643
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",106,1993,0,2099
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",551,5994,0,6545
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",94,1313,1591,2998
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",93,502,1751,2346
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",73,320,1110,1503
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",85,437,1317,1839
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",105,505,1851,2461
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",67,213,1371,1651
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",41,213,1391,1645
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",48,184,1884,2116
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",41,137,1428,1606
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",60,279,2311,2650
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",87,239,1983,2309
"TBP120 - The Token Protocol","2017-03-25 20:31:45",98,184,856,3132
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",82,189,360,2382
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",34,119,327,1919
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",70,169,262,1861
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",96,228,281,2701
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",38,83,181,1451
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",44,77,206,1767
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",39,104,312,2054
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",50,63,229,2332
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",77,114,180,2301
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",22,68,139,1613
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",25,46,130,1235
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",48,86,170,1926
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",22,38,110,1315
"TBP114 - Life After Trezor","2017-02-12 06:32:10",67,76,176,2511
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",32,37,77,1541
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",28,36,130,2027
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",49,92,232,1945
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",26,102,166,1635
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",29,55,51,1512
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",43,82,180,3096
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",23,32,34,1427
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",34,91,203,1868
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",49,43,79,2082
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",25,36,78,2294
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",19,23,21,1358
"TBP109 - The Human Influence","2017-01-08 03:14:21",16,28,73,1865
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",20,41,73,1214
"TBP108 - Ether Camp","2017-01-04 15:48:27",25,30,68,1382
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",29,81,181,1608
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",28,49,39,1285
