"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",421,0,0,421
"TBP Announcements: Get Stack","2017-10-22 01:12:19",1324,0,0,1324
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",2393,0,0,2393
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",2989,0,0,2989
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",3193,0,0,3193
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",3296,0,0,3296
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",3142,0,0,3142
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",4336,0,0,4336
"TBP Announcements: DOVU","2017-10-06 21:48:28",3179,0,0,3179
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",3299,0,0,3299
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",2778,0,0,2778
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",4147,0,0,4147
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",3188,0,0,3188
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",3644,0,0,3644
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",3655,0,0,3655
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",1031,2837,0,3868
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",664,2435,0,3099
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",760,2840,0,3600
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",488,2911,0,3399
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",478,3217,0,3695
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",446,3297,0,3743
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",414,3909,0,4323
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",307,2733,0,3040
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",316,4695,0,5011
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",277,3733,0,4010
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",252,4256,0,4508
"TBP152 - Pally on the Block","2017-09-10 14:02:18",226,4837,0,5063
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",369,5008,0,5377
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",226,4110,0,4336
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",235,4395,0,4630
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",200,4438,0,4638
"TBP150 - EGO with ETH","2017-09-04 02:16:51",194,4579,0,4773
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",161,4311,0,4472
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",153,3282,0,3435
