"market","total_downloads"
"Portland / Auburn",111
"New York",7977
"Binghamton",96
"Macon",42
"Philadelphia",2787
"Detroit",1025
"Boston MA / Manchester",1883
"Savannah",83
"Pittsburgh",565
"Ft. Wayne",40
"Cleveland / Akron (Canton)",443
"Washington DC (Hagerstown)",12429
"Baltimore",962
"Flint / Saginaw / Bay City",58
"Buffalo",265
"Cincinnati",311
"Charlotte",766
"Greensboro / High Point / Winston Salem",330
"Charleston",27
"Augusta",20
"Providence RI / New Bedford",219
"Columbus",25
"Burlington VT / Plattsburgh",122
"Atlanta",2011
"Albany",22
"Utica",55
"Indianapolis",432
"Miami / Ft. Lauderdale",1305
"Louisville",307
"Tallahassee FL / Thomasville",16
"Tri-Cities TN",13
"Albany / Schenectady / Troy",267
"Hartford & New Haven",906
"Orlando / Daytona Beach / Melbourne",660
"Columbus",216
"Youngstown",452
"Bangor",59
"Rochester",149
"Tampa / St. Petersburg (Sarasota)",639
"Traverse City / Cadillac",27
"Lexington",113
"Dayton",230
"Springfield / Holyoke",147
"Norfolk / Portsmouth / Newport News",150
"Greenville / New Bern / Washington",12
"Columbia",187
"Toledo",125
"West Palm Beach / Ft. Pierce",559
"Watertown",24
"Wilmington",68
"Lansing",99
"Presque Isle",4
"Marquette",40
"Wheeling WV / Steubenville",1
"Syracuse",150
"Richmond / Petersburg",310
"Knoxville",104
"Raleigh / Durham (Fayetteville)",1702
"Jacksonville",506
"Grand Rapids / Kalamazoo / Battle Creek",153
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",298
"Greenville / Spartanburg SC / Asheville NC / Anderson",311
"Harrisonburg",25
"Florence / Myrtle Beach",78
"Ft. Myers / Naples",182
"Roanoke / Lynchburg",94
"Johnstown / Altoona",313
"Chattanooga",67
"Salisbury",949
"Wilkes Barre / Scranton",101
"Terre Haute",16
"Lafayette",17
"Charlottesville",37
"South Bend / Elkhart",104
"Gainesville",12
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",48
"Corpus Christi",49
"Chicago",3520
"Joplin MO / Pittsburg",3
"Columbia / Jefferson City",18
"Topeka",44
"St. Louis",541
"Rockford",103
"Rochester MN / Mason City IA / Austin",9
"Shreveport",53
"Minneapolis / St. Paul",1073
"Kansas City",1066
"Milwaukee",292
"Houston",1412
"Springfield",122
"New Orleans",340
"Dallas / Ft. Worth",2554
"Sioux City",17
"Waco / Temple / Bryan",2396
"Victoria",2
"Wichita Falls TX & Lawton",3
"Birmingham",303
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",99
"Odessa / Midland",129
"Amarillo",28
"Austin",1952
"Harlingen / Weslaco / Brownsville / McAllen",9
"Cedar Rapids / Waterloo / Iowa City & Dubuque",392
"St. Joseph",11
"Jackson",53
"Memphis",282
"San Antonio",382
"Lafayette",20
"Alexandria",17
"Champaign & Springfield / Decatur",90
"Evansville",23
"Oklahoma City",421
"Lubbock",222
"Omaha",184
"Panama City",4
"Sherman TX / Ada",8
"Green Bay / Appleton",66
"Nashville",500
"San Angelo",146
"Abilene / Sweetwater",20
"Madison",750
"Ft. Smith / Fayetteville / Springdale / Rogers",31
"Tulsa",89
"Columbus / Tupelo / West Point",6
"Peoria / Bloomington",110
"Duluth MN / Superior",17
"Wichita / Hutchinson",112
"Des Moines / Ames",97
"Davenport IA / Rock Island / Moline",69
"Mobile AL / Pensacola (Ft. Walton Beach)",125
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",161
"Beaumont / Port Arthur",8
"Little Rock / Pine Bluff",171
"Montgomery (Selma)",31
"La Crosse / Eau Claire",86
"Wausau / Rhinelander",30
"Tyler / Longview(Lufkin & Nacogdoches)",27
"Hattiesburg / Laurel",8
"Baton Rouge",42
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",113
"Lincoln & Hastings / Kearney",123
"Fargo / Valley City",23
"Sioux Falls(Mitchell)",224
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",88
"Honolulu",393
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",2921
"Colorado Springs / Pueblo",76
"Phoenix",1196
"Butte / Bozeman",129
"Great Falls",26
"Billings",204
"Boise",109
"Idaho Falls / Pocatello",8
"Cheyenne WY / Scottsbluff",24
"Twin Falls",35
"Missoula",114
"Rapid City",5
"El Paso",28
"Helena",1
"Casper / Riverton",1
"Salt Lake City",924
"Grand Junction / Montrose",15
"Tucson (Sierra Vista)",39
"Albuquerque / Santa Fe",213
"Bakersfield",158
"Eugene",162
"Eureka",5
"Los Angeles",7533
"Palm Springs",42
"San Francisco / Oakland / San Jose",10956
"Yakima / Pasco / Richland / Kennewick",608
"Reno",74
"Medford / Klamath Falls",24
"Seattle / Tacoma",3719
"Portland",1197
"Bend",223
"San Diego",1177
"Monterey / Salinas",678
"Las Vegas",1028
"Santa Barbara / Santa Maria / San Luis Obispo",94
"Sacramento / Stockton / Modesto",1128
"Fresno / Visalia",44
"Chico / Redding",15
"Spokane",227
