"market","total_downloads"
"Portland / Auburn",116
"New York",8361
"Binghamton",100
"Macon",53
"Philadelphia",2937
"Detroit",1101
"Boston MA / Manchester",1955
"Savannah",84
"Pittsburgh",577
"Ft. Wayne",40
"Cleveland / Akron (Canton)",452
"Washington DC (Hagerstown)",12540
"Baltimore",1054
"Flint / Saginaw / Bay City",59
"Buffalo",274
"Cincinnati",313
"Charlotte",795
"Greensboro / High Point / Winston Salem",332
"Charleston",32
"Augusta",21
"Providence RI / New Bedford",224
"Columbus",26
"Burlington VT / Plattsburgh",123
"Atlanta",2087
"Albany",22
"Utica",55
"Indianapolis",443
"Miami / Ft. Lauderdale",1338
"Louisville",309
"Tallahassee FL / Thomasville",17
"Tri-Cities TN",14
"Albany / Schenectady / Troy",268
"Hartford & New Haven",944
"Orlando / Daytona Beach / Melbourne",666
"Columbus",228
"Youngstown",453
"Bangor",59
"Rochester",150
"Tampa / St. Petersburg (Sarasota)",648
"Traverse City / Cadillac",27
"Lexington",114
"Dayton",231
"Springfield / Holyoke",152
"Norfolk / Portsmouth / Newport News",154
"Greenville / New Bern / Washington",13
"Columbia",189
"Toledo",128
"West Palm Beach / Ft. Pierce",574
"Watertown",27
"Wilmington",69
"Lansing",107
"Presque Isle",4
"Marquette",40
"Wheeling WV / Steubenville",1
"Syracuse",158
"Richmond / Petersburg",377
"Knoxville",107
"Raleigh / Durham (Fayetteville)",1778
"Jacksonville",525
"Grand Rapids / Kalamazoo / Battle Creek",170
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",318
"Greenville / Spartanburg SC / Asheville NC / Anderson",321
"Harrisonburg",25
"Florence / Myrtle Beach",78
"Ft. Myers / Naples",187
"Roanoke / Lynchburg",102
"Johnstown / Altoona",314
"Chattanooga",67
"Salisbury",949
"Wilkes Barre / Scranton",109
"Terre Haute",16
"Lafayette",17
"Charlottesville",37
"South Bend / Elkhart",106
"Gainesville",14
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",48
"Corpus Christi",49
"Chicago",3678
"Joplin MO / Pittsburg",3
"Columbia / Jefferson City",18
"Topeka",44
"St. Louis",558
"Rockford",103
"Rochester MN / Mason City IA / Austin",9
"Shreveport",55
"Minneapolis / St. Paul",1088
"Kansas City",1068
"Milwaukee",299
"Houston",1452
"Springfield",149
"New Orleans",359
"Dallas / Ft. Worth",2703
"Sioux City",17
"Waco / Temple / Bryan",2399
"Victoria",2
"Wichita Falls TX & Lawton",3
"Birmingham",307
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",100
"Odessa / Midland",131
"Amarillo",28
"Austin",1989
"Harlingen / Weslaco / Brownsville / McAllen",9
"Cedar Rapids / Waterloo / Iowa City & Dubuque",398
"St. Joseph",11
"Jackson",56
"Memphis",285
"San Antonio",388
"Lafayette",26
"Alexandria",18
"Champaign & Springfield / Decatur",94
"Evansville",23
"Oklahoma City",429
"Lubbock",230
"Omaha",196
"Panama City",5
"Sherman TX / Ada",8
"Green Bay / Appleton",66
"Nashville",532
"San Angelo",148
"Abilene / Sweetwater",20
"Madison",808
"Ft. Smith / Fayetteville / Springdale / Rogers",31
"Tulsa",90
"Columbus / Tupelo / West Point",7
"Peoria / Bloomington",110
"Duluth MN / Superior",17
"Wichita / Hutchinson",112
"Des Moines / Ames",98
"Davenport IA / Rock Island / Moline",70
"Mobile AL / Pensacola (Ft. Walton Beach)",132
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",165
"Beaumont / Port Arthur",8
"Little Rock / Pine Bluff",175
"Montgomery (Selma)",31
"La Crosse / Eau Claire",93
"Wausau / Rhinelander",30
"Tyler / Longview(Lufkin & Nacogdoches)",28
"Hattiesburg / Laurel",8
"Baton Rouge",63
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",118
"Lincoln & Hastings / Kearney",130
"Fargo / Valley City",23
"Sioux Falls(Mitchell)",233
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",88
"Honolulu",449
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",3011
"Colorado Springs / Pueblo",80
"Phoenix",1239
"Butte / Bozeman",130
"Great Falls",26
"Billings",204
"Boise",110
"Idaho Falls / Pocatello",8
"Cheyenne WY / Scottsbluff",24
"Twin Falls",35
"Missoula",114
"Rapid City",5
"El Paso",28
"Helena",1
"Casper / Riverton",1
"Salt Lake City",945
"Grand Junction / Montrose",17
"Tucson (Sierra Vista)",43
"Albuquerque / Santa Fe",216
"Bakersfield",166
"Eugene",163
"Eureka",6
"Los Angeles",7811
"Palm Springs",65
"San Francisco / Oakland / San Jose",11369
"Yakima / Pasco / Richland / Kennewick",617
"Reno",80
"Medford / Klamath Falls",25
"Seattle / Tacoma",3820
"Portland",1270
"Bend",224
"San Diego",1301
"Monterey / Salinas",697
"Las Vegas",1054
"Santa Barbara / Santa Maria / San Luis Obispo",95
"Sacramento / Stockton / Modesto",1184
"Fresno / Visalia",54
"Chico / Redding",15
"Spokane",233
