"state","requests"
"Alaska","81"
"Alabama","131"
"Arkansas","34"
"Arizona","448"
"California","4067"
"Colorado","396"
"Connecticut","222"
"District of Columbia","94"
"Delaware","64"
"Florida","1172"
"Georgia","470"
"Hawaii","130"
"Iowa","46"
"Idaho","117"
"Illinois","935"
"Indiana","127"
"Kansas","67"
"Kentucky","110"
"Louisiana","90"
"Massachusetts","493"
"Maryland","249"
"Maine","7"
"Michigan","340"
"Minnesota","208"
"Missouri","191"
"Mississippi","91"
"Montana","28"
"North Carolina","422"
"North Dakota","13"
"Nebraska","50"
"New Hampshire","53"
"New Jersey","590"
"New Mexico","97"
"Armed Forces Europe Middle East & Canada","24"
"Nevada","343"
"New York","1852"
"Ohio","375"
"Oklahoma","85"
"Oregon","318"
"Pennsylvania","466"
"Rhode Island","56"
"South Carolina","86"
"South Dakota","15"
"Tennessee","248"
"Texas","1440"
"Utah","115"
"Virginia","430"
"Vermont","13"
"Washington","671"
"Wisconsin","136"
"West Virginia","11"
"Wyoming","19"
