"market","total_downloads"
"Portland / Auburn",425
"New York",31351
"Binghamton",124
"Macon",176
"Philadelphia",7837
"Detroit",2946
"Boston MA / Manchester",7328
"Savannah",359
"Pittsburgh",2092
"Ft. Wayne",48
"Cleveland / Akron (Canton)",1546
"Washington DC (Hagerstown)",23433
"Baltimore",3353
"Flint / Saginaw / Bay City",261
"Buffalo",708
"Cincinnati",992
"Erie",7
"Charlotte",3520
"Greensboro / High Point / Winston Salem",771
"Charleston",110
"Augusta",87
"Providence RI / New Bedford",1007
"Columbus",107
"Burlington VT / Plattsburgh",777
"Atlanta",6065
"Albany",96
"Utica",146
"Indianapolis",1344
"Miami / Ft. Lauderdale",5135
"Louisville",871
"Tallahassee FL / Thomasville",130
"Tri-Cities TN",176
"Albany / Schenectady / Troy",629
"Hartford & New Haven",2658
"Orlando / Daytona Beach / Melbourne",2556
"Columbus",1638
"Youngstown",551
"Bangor",71
"Rochester",611
"Tampa / St. Petersburg (Sarasota)",3041
"Traverse City / Cadillac",210
"Lexington",255
"Dayton",345
"Springfield / Holyoke",389
"Norfolk / Portsmouth / Newport News",779
"Greenville / New Bern / Washington",77
"Columbia",376
"Toledo",658
"West Palm Beach / Ft. Pierce",1328
"Watertown",104
"Wilmington",387
"Lansing",276
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",16
"Syracuse",347
"Richmond / Petersburg",780
"Knoxville",405
"Lima",4
"Bluefield / Beckley / Oak Hill",38
"Raleigh / Durham (Fayetteville)",4912
"Jacksonville",1162
"Grand Rapids / Kalamazoo / Battle Creek",653
"Charleston / Huntington",91
"Elmira",15
"Harrisburg / Lancaster / Lebanon / York",766
"Greenville / Spartanburg SC / Asheville NC / Anderson",1079
"Harrisonburg",52
"Florence / Myrtle Beach",174
"Ft. Myers / Naples",508
"Roanoke / Lynchburg",348
"Johnstown / Altoona",458
"Chattanooga",341
"Salisbury",1279
"Wilkes Barre / Scranton",363
"Terre Haute",21
"Lafayette",25
"Charlottesville",112
"South Bend / Elkhart",222
"Gainesville",162
"Zanesville",15
"Parkersburg",27
"Clarksburg / Weston",53
"Corpus Christi",56
"Chicago",9889
"Joplin MO / Pittsburg",32
"Columbia / Jefferson City",147
"Topeka",133
"Dothan",23
"St. Louis",1781
"Rockford",149
"Rochester MN / Mason City IA / Austin",166
"Shreveport",280
"Minneapolis / St. Paul",3855
"Kansas City",1694
"Milwaukee",1117
"Houston",4778
"Springfield",436
"New Orleans",1223
"Dallas / Ft. Worth",8599
"Sioux City",26
"Waco / Temple / Bryan",3380
"Victoria",2
"Wichita Falls TX & Lawton",9
"Monroe LA / El Dorado",60
"Birmingham",939
"Ottumwa IA / Kirksville",4
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",269
"Odessa / Midland",241
"Amarillo",126
"Austin",6088
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",853
"St. Joseph",18
"Jackson",84
"Memphis",727
"San Antonio",825
"Lafayette",32
"Lake Charles",4
"Alexandria",22
"Champaign & Springfield / Decatur",219
"Evansville",35
"Oklahoma City",847
"Lubbock",421
"Omaha",762
"Panama City",40
"Sherman TX / Ada",42
"Green Bay / Appleton",300
"Nashville",1998
"San Angelo",224
"Abilene / Sweetwater",24
"Madison",1709
"Ft. Smith / Fayetteville / Springdale / Rogers",255
"Tulsa",245
"Columbus / Tupelo / West Point",18
"Peoria / Bloomington",182
"Duluth MN / Superior",65
"Wichita / Hutchinson",439
"Des Moines / Ames",426
"Davenport IA / Rock Island / Moline",136
"Mobile AL / Pensacola (Ft. Walton Beach)",495
"Minot / Bismarck / Dickinson(Williston)",210
"Huntsville / Decatur (Florence)",339
"Beaumont / Port Arthur",27
"Little Rock / Pine Bluff",439
"Montgomery (Selma)",187
"La Crosse / Eau Claire",296
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",231
"Hattiesburg / Laurel",146
"Baton Rouge",507
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",291
"Lincoln & Hastings / Kearney",427
"Fargo / Valley City",159
"Sioux Falls(Mitchell)",277
"Jonesboro",17
"Bowling Green",65
"Mankato",15
"North Platte",3
"Anchorage",411
"Honolulu",1304
"Fairbanks",18
"Biloxi / Gulfport",443
"Juneau",106
"Laredo",11
"Denver",6990
"Colorado Springs / Pueblo",400
"Phoenix",3701
"Butte / Bozeman",235
"Great Falls",75
"Billings",242
"Boise",336
"Idaho Falls / Pocatello",121
"Cheyenne WY / Scottsbluff",72
"Twin Falls",49
"Missoula",137
"Rapid City",9
"El Paso",63
"Helena",2
"Casper / Riverton",6
"Salt Lake City",3329
"Yuma AZ / El Centro",5
"Grand Junction / Montrose",112
"Tucson (Sierra Vista)",294
"Albuquerque / Santa Fe",652
"Bakersfield",253
"Eugene",639
"Eureka",55
"Los Angeles",24135
"Palm Springs",245
"San Francisco / Oakland / San Jose",31607
"Yakima / Pasco / Richland / Kennewick",876
"Reno",279
"Medford / Klamath Falls",267
"Seattle / Tacoma",9880
"Portland",3860
"Bend",353
"San Diego",4709
"Monterey / Salinas",1884
"Las Vegas",3473
"Santa Barbara / Santa Maria / San Luis Obispo",1041
"Sacramento / Stockton / Modesto",3430
"Fresno / Visalia",201
"Chico / Redding",131
"Spokane",760
