"region","total_downloads"
", United States",5660
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",122
"Alabama, United States",599
"Armed Forces Pacific, United States",3
"Arkansas, United States",248
"Arizona, United States",1391
"California, United States",25074
"Colorado, United States",3232
"Connecticut, United States",1250
"District of Columbia, United States",1291
"Delaware, United States",1204
"Florida, United States",4504
"Georgia, United States",2678
"Hawaii, United States",461
"Iowa, United States",581
"Idaho, United States",303
"Illinois, United States",4661
"Indiana, United States",860
"Kansas, United States",856
"Kentucky, United States",561
"Louisiana, United States",574
"Massachusetts, United States",2005
"Maryland, United States",2485
"Maine, United States",180
"Michigan, United States",1671
"Minnesota, United States",1190
"Missouri, United States",1200
"Mississippi, United States",240
"Montana, United States",485
"North Carolina, United States",3300
"North Dakota, United States",53
"Nebraska, United States",315
"New Hampshire, United States",253
"New Jersey, United States",3751
"New Mexico, United States",285
"Nevada, United States",1206
"New York, United States",6898
"Ohio, United States",1819
"Oklahoma, United States",561
"Oregon, United States",2258
"Pennsylvania, United States",3234
"Rhode Island, United States",225
"South Carolina, United States",641
"South Dakota, United States",242
"Tennessee, United States",1130
"Texas, United States",11168
"Utah, United States",1051
"Virginia, United States",11284
"Vermont, United States",107
"Washington, United States",4653
"Wisconsin, United States",1328
"West Virginia, United States",88
"Wyoming, United States",38
