"region","total_downloads"
", United States",9470
"Armed Forces Europe, Middle East, & Canada, United States",160
"Alaska, United States",618
"Alabama, United States",2244
"Armed Forces Pacific, United States",54
"Arkansas, United States",999
"Arizona, United States",4916
"California, United States",81046
"Colorado, United States",8525
"Connecticut, United States",4058
"District of Columbia, United States",3327
"Delaware, United States",1961
"Florida, United States",16703
"Georgia, United States",8990
"Hawaii, United States",1565
"Iowa, United States",1848
"Idaho, United States",1171
"Illinois, United States",14391
"Indiana, United States",2467
"Kansas, United States",1882
"Kentucky, United States",1461
"Louisiana, United States",2365
"Massachusetts, United States",8289
"Maryland, United States",8634
"Maine, United States",468
"Michigan, United States",5368
"Minnesota, United States",4605
"Missouri, United States",3464
"Mississippi, United States",1127
"Montana, United States",726
"North Carolina, United States",11462
"North Dakota, United States",364
"Nebraska, United States",1311
"New Hampshire, United States",998
"New Jersey, United States",11807
"New Mexico, United States",840
"Nevada, United States",4306
"New York, United States",29260
"Ohio, United States",6704
"Oklahoma, United States",1547
"Oregon, United States",6203
"Pennsylvania, United States",10083
"Rhode Island, United States",1131
"South Carolina, United States",1989
"South Dakota, United States",325
"Tennessee, United States",4304
"Texas, United States",33049
"Utah, United States",3787
"Virginia, United States",18880
"Vermont, United States",590
"Washington, United States",13172
"Wisconsin, United States",3903
"West Virginia, United States",276
"Wyoming, United States",123
