"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP175 - Superconferencing","2017-12-31 05:20:20",1985,0,0,1985
"NABP #13: Peter Saddington","2017-12-27 20:16:04",4866,0,0,4866
"An Ethereum Podcast: Episode #10","2017-12-26 14:46:48",5136,0,0,5136
"TBP174 - Determining the Reliability of Sources","2017-12-23 18:03:54",5315,0,0,5315
"TBP Announcements: Bluezelle","2017-12-22 04:21:34",3998,0,0,3998
"NABP #12: Jimmy Song","2017-12-21 15:53:28",5451,0,0,5451
"TBP173 - Surprising Insights","2017-12-21 15:27:11",5576,0,0,5576
"An Ethereum Podcast: Episode #9","2017-12-19 14:41:07",5748,0,0,5748
"BlockChannel Episode 35: Deciphering What’s New, with NuCypher","2017-12-19 01:39:53",4783,0,0,4783
"TBP172 - Life After Silicon Valley","2017-12-17 18:58:08",6388,0,0,6388
"Monero Monitor: Mimblewimble with Andrew Poelstra","2017-12-11 14:35:52",8586,0,0,8586
"An Ethereum Podcast: Episode #8","2017-12-10 14:23:50",5592,0,0,5592
"TBP171 - The Future of Giving","2017-12-09 19:40:43",4999,0,0,4999
"TBP Announcements: LoyalCoin","2017-12-09 18:06:06",4835,0,0,4835
"Buy or Sell, What the Hell #5","2017-12-09 16:21:38",6201,0,0,6201
"TBP Announcements: CoinFi","2017-12-08 15:50:50",4717,0,0,4717
"An Ethereum Podcast: Episode #7","2017-12-05 16:37:02",6892,0,0,6892
"TBP170 - A New Kind of Legal","2017-12-03 14:58:36",6393,0,0,6393
"An Ethereum Podcast: Episode #6","2017-11-30 14:08:10",4540,2036,0,6576
"TBP Announcements: Crowd Machine","2017-11-30 13:23:53",2341,1609,0,3950
"TBP169 - Monetary Revolution","2017-11-27 02:56:13",2387,3724,0,6111
"TBP Announcements: Coinfirm","2017-11-27 02:51:51",1132,3601,0,4733
"TBP168 - Passion, Pain & Unicorn Slayin'","2017-11-26 05:35:45",1291,4798,0,6089
"BlockChannel Episode 34: Developers Developers Developers, with Zastrin.com","2017-11-23 19:10:49",898,3884,0,4782
"TBP Announcements: Simple Token","2017-11-19 22:12:40",708,3912,0,4620
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",1115,5977,0,7092
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",632,3792,0,4424
"TBP Announcements: Globitex","2017-11-15 03:54:35",637,3854,0,4491
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",706,5468,0,6174
"Devcon3: Recap Part 2","2017-11-05 14:54:24",438,5612,0,6050
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",546,4140,0,4686
"Devcon3: Recap Part 1","2017-11-03 01:13:35",456,4791,0,5247
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",377,2775,1762,4914
"TBP163 - Savings and Savior","2017-10-29 03:38:25",349,1224,2805,4378
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",467,1510,3238,5215
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",346,800,2749,3895
"TBP162 - Sweet Talk","2017-10-26 14:29:23",368,1016,3297,4681
"BTCPODcast.mp3","2017-10-25 14:03:59",3,45,103,151
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",303,683,4024,5010
"TBP Announcements: STACK","2017-10-22 01:12:19",296,570,3093,3959
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",313,738,3402,4453
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",252,486,3324,4062
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",262,465,3548,4275
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",263,488,3627,4378
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",259,458,3395,4112
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",281,481,4629,5391
"TBP Announcements: DOVU","2017-10-06 21:48:28",234,361,3332,3927
