"market","total_downloads"
"Portland / Auburn",165
"New York",10185
"Binghamton",100
"Macon",54
"Philadelphia",3353
"Detroit",1244
"Boston MA / Manchester",2351
"Savannah",132
"Pittsburgh",795
"Ft. Wayne",43
"Cleveland / Akron (Canton)",579
"Washington DC (Hagerstown)",14046
"Baltimore",1255
"Flint / Saginaw / Bay City",73
"Buffalo",310
"Cincinnati",652
"Charlotte",993
"Greensboro / High Point / Winston Salem",362
"Charleston",43
"Augusta",22
"Providence RI / New Bedford",249
"Columbus",39
"Burlington VT / Plattsburgh",145
"Atlanta",2391
"Albany",26
"Utica",58
"Indianapolis",494
"Miami / Ft. Lauderdale",1476
"Louisville",361
"Tallahassee FL / Thomasville",21
"Tri-Cities TN",15
"Albany / Schenectady / Troy",288
"Hartford & New Haven",1122
"Orlando / Daytona Beach / Melbourne",752
"Columbus",272
"Youngstown",454
"Bangor",59
"Rochester",215
"Tampa / St. Petersburg (Sarasota)",751
"Traverse City / Cadillac",29
"Lexington",153
"Dayton",245
"Springfield / Holyoke",172
"Norfolk / Portsmouth / Newport News",175
"Greenville / New Bern / Washington",20
"Columbia",201
"Toledo",146
"West Palm Beach / Ft. Pierce",646
"Watertown",39
"Wilmington",220
"Lansing",132
"Presque Isle",4
"Marquette",42
"Wheeling WV / Steubenville",1
"Syracuse",166
"Richmond / Petersburg",405
"Knoxville",124
"Raleigh / Durham (Fayetteville)",2200
"Jacksonville",605
"Grand Rapids / Kalamazoo / Battle Creek",218
"Charleston / Huntington",23
"Elmira",6
"Harrisburg / Lancaster / Lebanon / York",379
"Greenville / Spartanburg SC / Asheville NC / Anderson",364
"Harrisonburg",35
"Florence / Myrtle Beach",99
"Ft. Myers / Naples",234
"Roanoke / Lynchburg",124
"Johnstown / Altoona",325
"Chattanooga",78
"Salisbury",981
"Wilkes Barre / Scranton",110
"Terre Haute",17
"Lafayette",20
"Charlottesville",41
"South Bend / Elkhart",116
"Gainesville",17
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",48
"Corpus Christi",50
"Chicago",4193
"Joplin MO / Pittsburg",4
"Columbia / Jefferson City",18
"Topeka",78
"Dothan",8
"St. Louis",653
"Rockford",103
"Rochester MN / Mason City IA / Austin",10
"Shreveport",73
"Minneapolis / St. Paul",1347
"Kansas City",1122
"Milwaukee",337
"Houston",1826
"Springfield",179
"New Orleans",480
"Dallas / Ft. Worth",3215
"Sioux City",17
"Waco / Temple / Bryan",2431
"Victoria",2
"Wichita Falls TX & Lawton",4
"Birmingham",401
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",109
"Odessa / Midland",141
"Amarillo",31
"Austin",2130
"Harlingen / Weslaco / Brownsville / McAllen",9
"Cedar Rapids / Waterloo / Iowa City & Dubuque",427
"St. Joseph",11
"Jackson",66
"Memphis",345
"San Antonio",420
"Lafayette",28
"Alexandria",20
"Champaign & Springfield / Decatur",95
"Evansville",24
"Oklahoma City",460
"Lubbock",250
"Omaha",231
"Panama City",7
"Sherman TX / Ada",9
"Green Bay / Appleton",71
"Nashville",829
"San Angelo",159
"Abilene / Sweetwater",21
"Madison",860
"Ft. Smith / Fayetteville / Springdale / Rogers",41
"Tulsa",103
"Columbus / Tupelo / West Point",7
"Peoria / Bloomington",113
"Duluth MN / Superior",21
"Wichita / Hutchinson",130
"Des Moines / Ames",115
"Davenport IA / Rock Island / Moline",72
"Mobile AL / Pensacola (Ft. Walton Beach)",159
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",186
"Beaumont / Port Arthur",17
"Little Rock / Pine Bluff",218
"Montgomery (Selma)",56
"La Crosse / Eau Claire",105
"Wausau / Rhinelander",39
"Tyler / Longview(Lufkin & Nacogdoches)",34
"Hattiesburg / Laurel",9
"Baton Rouge",104
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",124
"Lincoln & Hastings / Kearney",159
"Fargo / Valley City",30
"Sioux Falls(Mitchell)",246
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",91
"Honolulu",495
"Fairbanks",1
"Biloxi / Gulfport",13
"Juneau",34
"Laredo",9
"Denver",3331
"Colorado Springs / Pueblo",97
"Phoenix",1393
"Butte / Bozeman",136
"Great Falls",72
"Billings",230
"Boise",159
"Idaho Falls / Pocatello",15
"Cheyenne WY / Scottsbluff",29
"Twin Falls",45
"Missoula",116
"Rapid City",5
"El Paso",28
"Helena",1
"Casper / Riverton",1
"Salt Lake City",1175
"Grand Junction / Montrose",25
"Tucson (Sierra Vista)",47
"Albuquerque / Santa Fe",259
"Bakersfield",168
"Eugene",190
"Eureka",8
"Los Angeles",8996
"Palm Springs",89
"San Francisco / Oakland / San Jose",13100
"Yakima / Pasco / Richland / Kennewick",645
"Reno",107
"Medford / Klamath Falls",27
"Seattle / Tacoma",4268
"Portland",1629
"Bend",232
"San Diego",1613
"Monterey / Salinas",829
"Las Vegas",1201
"Santa Barbara / Santa Maria / San Luis Obispo",255
"Sacramento / Stockton / Modesto",1359
"Fresno / Visalia",74
"Chico / Redding",16
"Spokane",273
