"market","total_downloads"
"Portland / Auburn",8
"New York",3093
"Binghamton",37
"Macon",5
"Philadelphia",886
"Detroit",406
"Boston MA / Manchester",789
"Savannah",34
"Pittsburgh",298
"Ft. Wayne",13
"Cleveland / Akron (Canton)",125
"Washington DC (Hagerstown)",2187
"Baltimore",411
"Flint / Saginaw / Bay City",36
"Buffalo",85
"Cincinnati",142
"Charlotte",315
"Greensboro / High Point / Winston Salem",144
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",67
"Columbus",15
"Burlington VT / Plattsburgh",90
"Atlanta",850
"Utica",13
"Indianapolis",155
"Miami / Ft. Lauderdale",541
"Louisville",185
"Tallahassee FL / Thomasville",12
"Tri-Cities TN",11
"Albany / Schenectady / Troy",163
"Hartford & New Haven",303
"Orlando / Daytona Beach / Melbourne",293
"Columbus",64
"Youngstown",451
"Bangor",32
"Rochester",61
"Tampa / St. Petersburg (Sarasota)",272
"Traverse City / Cadillac",8
"Lexington",7
"Dayton",105
"Springfield / Holyoke",14
"Norfolk / Portsmouth / Newport News",61
"Greenville / New Bern / Washington",5
"Columbia",45
"Toledo",28
"West Palm Beach / Ft. Pierce",217
"Wilmington",12
"Lansing",35
"Presque Isle",4
"Syracuse",70
"Richmond / Petersburg",123
"Knoxville",45
"Raleigh / Durham (Fayetteville)",245
"Jacksonville",262
"Grand Rapids / Kalamazoo / Battle Creek",72
"Charleston / Huntington",15
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",46
"Greenville / Spartanburg SC / Asheville NC / Anderson",78
"Harrisonburg",24
"Florence / Myrtle Beach",37
"Ft. Myers / Naples",67
"Roanoke / Lynchburg",63
"Johnstown / Altoona",153
"Chattanooga",8
"Salisbury",107
"Wilkes Barre / Scranton",5
"Terre Haute",4
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",29
"Gainesville",7
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",42
"Corpus Christi",32
"Chicago",1497
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",8
"Topeka",7
"St. Louis",153
"Rockford",60
"Rochester MN / Mason City IA / Austin",9
"Shreveport",34
"Minneapolis / St. Paul",424
"Kansas City",362
"Milwaukee",155
"Houston",491
"Springfield",34
"New Orleans",213
"Dallas / Ft. Worth",910
"Sioux City",14
"Waco / Temple / Bryan",2003
"Victoria",2
"Wichita Falls TX & Lawton",1
"Birmingham",92
"Ottumwa IA / Kirksville",1
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",88
"Odessa / Midland",27
"Amarillo",2
"Austin",1364
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",208
"St. Joseph",4
"Jackson",11
"Memphis",78
"San Antonio",202
"Lafayette",12
"Champaign & Springfield / Decatur",6
"Evansville",9
"Oklahoma City",185
"Lubbock",82
"Omaha",87
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",57
"Nashville",110
"San Angelo",85
"Abilene / Sweetwater",1
"Madison",290
"Ft. Smith / Fayetteville / Springdale / Rogers",23
"Tulsa",48
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",21
"Duluth MN / Superior",5
"Wichita / Hutchinson",60
"Des Moines / Ames",17
"Davenport IA / Rock Island / Moline",50
"Mobile AL / Pensacola (Ft. Walton Beach)",26
"Minot / Bismarck / Dickinson(Williston)",34
"Huntsville / Decatur (Florence)",25
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",36
"Montgomery (Selma)",8
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",8
"Tyler / Longview(Lufkin & Nacogdoches)",22
"Hattiesburg / Laurel",4
"Baton Rouge",13
"Jackson",20
"Lincoln & Hastings / Kearney",25
"Fargo / Valley City",4
"Sioux Falls(Mitchell)",151
"Bowling Green",43
"Mankato",3
"North Platte",2
"Anchorage",87
"Honolulu",116
"Fairbanks",1
"Biloxi / Gulfport",7
"Juneau",26
"Laredo",1
"Denver",1154
"Colorado Springs / Pueblo",8
"Phoenix",582
"Butte / Bozeman",83
"Great Falls",2
"Billings",112
"Boise",27
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",11
"Twin Falls",9
"Missoula",57
"El Paso",7
"Helena",1
"Salt Lake City",268
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",25
"Albuquerque / Santa Fe",139
"Bakersfield",51
"Eugene",36
"Eureka",2
"Los Angeles",2992
"Palm Springs",23
"San Francisco / Oakland / San Jose",4698
"Yakima / Pasco / Richland / Kennewick",293
"Reno",25
"Medford / Klamath Falls",8
"Seattle / Tacoma",1232
"Portland",307
"Bend",67
"San Diego",410
"Monterey / Salinas",394
"Las Vegas",445
"Santa Barbara / Santa Maria / San Luis Obispo",49
"Sacramento / Stockton / Modesto",364
"Fresno / Visalia",17
"Chico / Redding",10
"Spokane",119
