"region","total_downloads"
", United States",3695
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",209
"Armed Forces Pacific, United States",2
"Arkansas, United States",123
"Arizona, United States",917
"California, United States",13616
"Colorado, United States",1772
"Connecticut, United States",623
"District of Columbia, United States",791
"Delaware, United States",367
"Florida, United States",2523
"Georgia, United States",1425
"Hawaii, United States",206
"Iowa, United States",337
"Idaho, United States",84
"Illinois, United States",2444
"Indiana, United States",470
"Kansas, United States",757
"Kentucky, United States",382
"Louisiana, United States",318
"Massachusetts, United States",1023
"Maryland, United States",1300
"Maine, United States",82
"Michigan, United States",912
"Minnesota, United States",643
"Missouri, United States",699
"Mississippi, United States",105
"Montana, United States",385
"North Carolina, United States",1124
"North Dakota, United States",38
"Nebraska, United States",140
"New Hampshire, United States",169
"New Jersey, United States",2042
"New Mexico, United States",192
"Nevada, United States",639
"New York, United States",3758
"Ohio, United States",1153
"Oklahoma, United States",327
"Oregon, United States",1210
"Pennsylvania, United States",1632
"Rhode Island, United States",96
"South Carolina, United States",264
"South Dakota, United States",174
"Tennessee, United States",434
"Texas, United States",7318
"Utah, United States",436
"Virginia, United States",4321
"Vermont, United States",80
"Washington, United States",2425
"Wisconsin, United States",715
"West Virginia, United States",74
"Wyoming, United States",23
