"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",1053,0,0,1053
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",703,1564,0,2267
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",208,1251,0,1459
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",318,1803,0,2121
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",150,1541,0,1691
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",122,1574,0,1696
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",66,2705,0,2771
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",94,2659,0,2753
"TBP128 - Family","2017-05-14 02:41:39",39,2870,0,2909
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",35,3508,0,3543
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",20,1993,0,2013
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",76,5994,0,6070
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",14,1313,1591,2918
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",14,502,1751,2267
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",14,320,1110,1444
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",20,437,1317,1774
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",17,505,1851,2373
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",9,213,1371,1593
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",8,213,1391,1612
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",10,184,1884,2078
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",9,137,1428,1574
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",14,279,2311,2604
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",8,239,1983,2230
"TBP120 - The Token Protocol","2017-03-25 20:31:45",7,184,856,3041
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",12,189,360,2312
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",5,119,327,1890
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",11,169,262,1802
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",14,228,281,2619
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",7,83,181,1420
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",11,77,206,1734
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",2,104,312,2017
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",2,63,229,2284
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",17,114,180,2241
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",3,68,139,1594
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",5,46,130,1215
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",15,86,170,1893
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",2,38,110,1295
"TBP114 - Life After Trezor","2017-02-12 06:32:10",15,76,176,2459
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",2,37,77,1511
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",6,36,130,2005
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",13,92,232,1909
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",5,102,166,1614
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",6,55,51,1489
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",5,82,180,3058
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",6,32,34,1410
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",8,91,203,1842
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",5,43,79,2038
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",7,36,78,2276
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",6,23,21,1345
"TBP109 - The Human Influence","2017-01-08 03:14:21",2,28,73,1851
